Geographic Area Name,id,Estimate  Total,Margin of Error  Total,Estimate  Total  White alone,Margin of Error  Total  White alone,Estimate  Total  Black or African American alone,Margin of Error  Total  Black or African American alone,Estimate  Total  American Indian and Alaska Native alone,Margin of Error  Total  American Indian and Alaska Native alone,Estimate  Total  Asian alone,Margin of Error  Total  Asian alone,Estimate  Total  Native Hawaiian and Other Pacific Islander alone,Margin of Error  Total  Native Hawaiian and Other Pacific Islander alone,Estimate  Total  Some other race alone,Margin of Error  Total  Some other race alone,Estimate  Total  Two or more races,Margin of Error  Total  Two or more races,Estimate  Total  Two or more races  Two races including Some other race,Margin of Error  Total  Two or more races  Two races including Some other race,"Estimate  Total  Two or more races  Two races excluding Some other race, and three or more races","Margin of Error  Total  Two or more races  Two races excluding Some other race, and three or more races"
"Census Tract 128, San Francisco County, California",1400000US06075012800,3988,337,3245,346,18,27,18,31,463,133,0,95,115,73,129,89,0,95,129,89
"Census Tract 129.01, San Francisco County, California",1400000US06075012901,2517,276,2029,270,5,10,32,25,364,162,0,95,34,41,53,49,0,95,53,49
"Census Tract 129.02, San Francisco County, California",1400000US06075012902,3260,272,2689,277,22,30,0,95,372,147,0,95,143,146,34,40,0,95,34,40
"Census Tract 130, San Francisco County, California",1400000US06075013000,3619,364,3198,396,27,38,10,16,275,113,0,95,63,92,46,59,0,95,46,59
"Census Tract 131.01, San Francisco County, California",1400000US06075013101,3945,384,2849,391,4,5,0,95,959,453,0,95,44,56,89,60,7,12,82,59
"Census Tract 131.02, San Francisco County, California",1400000US06075013102,2844,323,2445,222,104,118,0,95,228,115,0,95,38,34,29,35,0,95,29,35
"Census Tract 132, San Francisco County, California",1400000US06075013200,4697,493,3992,450,71,80,16,27,488,186,0,95,15,21,115,89,7,13,108,85
"Census Tract 133, San Francisco County, California",1400000US06075013300,4082,360,3219,341,22,34,0,95,527,145,14,21,45,50,255,142,47,53,208,123
"Census Tract 134, San Francisco County, California",1400000US06075013400,3450,543,2985,528,177,158,10,25,175,131,0,95,5,16,98,96,0,95,98,96
"Census Tract 135, San Francisco County, California",1400000US06075013500,2697,210,2222,239,48,50,0,95,320,110,2,5,28,25,77,60,41,50,36,36
"Census Tract 151, San Francisco County, California",1400000US06075015100,2108,194,1355,176,28,27,0,95,637,117,0,95,24,33,64,42,0,95,64,42
"Census Tract 152, San Francisco County, California",1400000US06075015200,3651,383,2649,426,71,65,0,95,844,182,0,95,34,51,53,44,0,95,53,44
"Census Tract 153, San Francisco County, California",1400000US06075015300,2104,280,1452,210,171,107,0,95,254,144,0,95,115,93,112,87,46,73,66,45
"Census Tract 154, San Francisco County, California",1400000US06075015400,5547,424,3662,455,176,101,0,95,1489,277,0,95,21,32,199,92,28,34,171,89
"Census Tract 155, San Francisco County, California",1400000US06075015500,3932,591,2067,496,367,131,0,95,1224,206,0,95,133,99,141,111,71,86,70,67
"Census Tract 156, San Francisco County, California",1400000US06075015600,2907,274,1449,183,124,94,0,95,1097,277,8,13,8,13,221,96,56,62,165,69
"Census Tract 157, San Francisco County, California",1400000US06075015700,7673,936,3996,493,514,216,0,95,1992,607,61,62,660,195,450,234,56,51,394,229
"Census Tract 158.01, San Francisco County, California",1400000US06075015801,3211,513,1389,287,989,345,0,95,628,206,0,95,142,221,63,75,0,95,63,75
"Census Tract 158.02, San Francisco County, California",1400000US06075015802,2703,410,1744,261,499,359,0,95,315,163,12,20,86,105,47,50,0,95,47,50
"Census Tract 159, San Francisco County, California",1400000US06075015900,4149,394,1757,253,661,212,7,11,1459,329,0,95,119,110,146,95,40,38,106,89
"Census Tract 160, San Francisco County, California",1400000US06075016000,2363,245,1478,233,51,46,7,11,636,200,0,95,49,42,142,84,7,11,135,82
"Census Tract 161, San Francisco County, California",1400000US06075016100,4651,522,1500,268,1684,318,47,48,1019,312,0,95,200,175,201,126,46,47,155,102
"Census Tract 162, San Francisco County, California",1400000US06075016200,2160,249,1489,288,48,39,0,95,350,148,13,16,135,86,125,67,26,31,99,59
"Census Tract 312.02, San Francisco County, California",1400000US06075031202,3088,460,796,288,526,107,7,12,1551,367,23,41,1,2,184,149,0,95,184,149
"Census Tract 311, San Francisco County, California",1400000US06075031100,6644,500,3673,392,174,189,37,44,2268,461,0,95,46,39,446,206,181,135,265,188
"Census Tract 312.01, San Francisco County, California",1400000US06075031201,6713,1086,1768,556,261,160,0,95,4168,1040,16,29,281,268,219,144,0,95,219,144
"Census Tract 313.01, San Francisco County, California",1400000US06075031301,4074,532,883,295,302,148,95,108,2145,551,0,95,404,506,245,244,0,95,245,244
"Census Tract 313.02, San Francisco County, California",1400000US06075031302,6190,805,1459,617,1271,432,0,95,3054,680,0,95,252,261,154,114,0,95,154,114
"Census Tract 314, San Francisco County, California",1400000US06075031400,6817,727,2316,605,1237,265,0,95,2749,421,0,95,361,255,154,110,9,17,145,106
"Census Tract 326.01, San Francisco County, California",1400000US06075032601,4633,528,1699,252,12,20,23,33,2720,480,0,95,78,94,101,72,0,95,101,72
"Census Tract 326.02, San Francisco County, California",1400000US06075032602,4630,536,1285,395,9,13,0,95,3205,641,0,95,13,19,118,107,36,68,82,78
"Census Tract 327, San Francisco County, California",1400000US06075032700,6883,523,2659,456,0,95,0,95,3879,638,13,21,49,82,283,134,51,62,232,119
"Census Tract 328.01, San Francisco County, California",1400000US06075032801,4007,610,1343,316,21,32,0,95,2513,637,0,95,102,164,28,50,0,95,28,50
"Census Tract 328.02, San Francisco County, California",1400000US06075032802,3511,456,903,303,129,146,0,95,2289,332,0,95,39,63,151,133,10,18,141,132
"Census Tract 329.01, San Francisco County, California",1400000US06075032901,5298,577,1722,307,122,160,0,95,3089,570,0,95,49,59,316,191,29,48,287,182
