,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over
69,"Census Tract 124.02, San Francisco County, California",40453,39509,12221,-,87794,-,-,-,11807,41505,25982,89485,35156,14516
70,"Census Tract 125.01, San Francisco County, California",19328,19402,10890,-,21696,-,21734,-,21214,19069,-,22599,14403,19127
71,"Census Tract 125.02, San Francisco County, California",11971,12566,12292,-,11910,-,-,-,-,12737,-,-,12001,11812
72,"Census Tract 126.01, San Francisco County, California",125139,130767,-,-,59410,-,-,-,130385,130302,-,126910,136000,-
73,"Census Tract 126.02, San Francisco County, California",122212,121394,-,-,-,-,-,205875,-,121667,-,134211,149028,56250
74,"Census Tract 127, San Francisco County, California",131568,131477,-,-,134830,-,-,93969,-,132364,-,132455,155250,61875
75,"Census Tract 128, San Francisco County, California",126716,132500,-,-,97917,-,-,-,97083,147438,-,154868,168750,32788
76,"Census Tract 129.01, San Francisco County, California",142500,144107,-,-,125568,-,-,-,124205,143988,-,157692,145147,-
77,"Census Tract 129.02, San Francisco County, California",119007,117955,-,-,114766,-,-,-,123958,117841,-,130024,117978,71250
78,"Census Tract 130, San Francisco County, California",151477,150625,-,-,190779,-,-,155221,-,151045,-,157936,140526,105789
79,"Census Tract 131.01, San Francisco County, California",124063,138068,-,-,131181,-,-,74722,-,140521,100541,152583,125000,39167
80,"Census Tract 131.02, San Francisco County, California",124330,130114,-,-,101827,-,-,151500,-,128611,-,140104,125781,76042
