,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over,Year,tract,geometry
42,"Census Tract 171.02, San Francisco County, California",133079,137841,-,-,134044,-,-,-,-,138750,10574,142917,134800,105750,2016,171.02,"POLYGON ((-122.453352 37.768246, -122.450522 37.768593, -122.44839 37.768865, -122.448013 37.767007, -122.447635 37.765139, -122.448274 37.764196, -122.449433 37.7632, -122.44912 37.761648, -122.451958 37.761478, -122.4524 37.763669, -122.452569 37.764509, -122.452758 37.765443, -122.452947 37.766374, -122.453352 37.768246))"
43,"Census Tract 171.02, San Francisco County, California",129792,132500,-,-,133750,-,-,-,-,135114,-,163250,118750,115625,2017,171.02,"POLYGON ((-122.453352 37.768246, -122.450522 37.768593, -122.44839 37.768865, -122.448013 37.767007, -122.447635 37.765139, -122.448274 37.764196, -122.449433 37.7632, -122.44912 37.761648, -122.451958 37.761478, -122.4524 37.763669, -122.452569 37.764509, -122.452758 37.765443, -122.452947 37.766374, -122.453352 37.768246))"
44,"Census Tract 171.02, San Francisco County, California",159167,159896,-,-,131528,-,-,233214,166696,154500,-,186136,142625,90694,2018,171.02,"POLYGON ((-122.453352 37.768246, -122.450522 37.768593, -122.44839 37.768865, -122.448013 37.767007, -122.447635 37.765139, -122.448274 37.764196, -122.449433 37.7632, -122.44912 37.761648, -122.451958 37.761478, -122.4524 37.763669, -122.452569 37.764509, -122.452758 37.765443, -122.452947 37.766374, -122.453352 37.768246))"
45,"Census Tract 176.01, San Francisco County, California",24164,44844,12354,61250,37700,-,11823,41053,11880,49179,14052,60045,23183,12087,2013,176.01,"POLYGON ((-122.417615 37.7766, -122.416292 37.777494, -122.413365 37.779862, -122.412548 37.780508, -122.410336 37.782245, -122.408952 37.783288, -122.408104 37.78402, -122.407451 37.784604, -122.406062 37.785757, -122.402708 37.783259, -122.404933 37.7815, -122.405719 37.780878, -122.407159 37.779739, -122.409387 37.777977, -122.411606 37.776221, -122.413161 37.774992, -122.415561 37.773101, -122.418704 37.775645, -122.417615 37.7766))"
46,"Census Tract 176.01, San Francisco County, California",22279,31563,12344,-,41209,-,10593,11719,11767,47885,14031,60917,16011,12165,2014,176.01,"POLYGON ((-122.417615 37.7766, -122.416292 37.777494, -122.413365 37.779862, -122.412548 37.780508, -122.410336 37.782245, -122.408952 37.783288, -122.408104 37.78402, -122.407451 37.784604, -122.406062 37.785757, -122.402708 37.783259, -122.404933 37.7815, -122.405719 37.780878, -122.407159 37.779739, -122.409387 37.777977, -122.411606 37.776221, -122.413161 37.774992, -122.415561 37.773101, -122.418704 37.775645, -122.417615 37.7766))"
47,"Census Tract 176.01, San Francisco County, California",23099,37404,11642,-,25341,-,17188,11150,41174,25395,12963,45536,19677,19495,2010,176.01,"POLYGON ((-122.417615 37.7766, -122.416292 37.777494, -122.413365 37.779862, -122.412548 37.780508, -122.410336 37.782245, -122.408952 37.783288, -122.408104 37.78402, -122.407451 37.784604, -122.406062 37.785757, -122.402708 37.783259, -122.404933 37.7815, -122.405719 37.780878, -122.407159 37.779739, -122.409387 37.777977, -122.411606 37.776221, -122.413161 37.774992, -122.415561 37.773101, -122.418704 37.775645, -122.417615 37.7766))"
48,"Census Tract 176.01, San Francisco County, California",23330,38457,12857,11906,39565,7059,12121,23839,11983,39787,13598,38911,24508,17393,2011,176.01,"POLYGON ((-122.417615 37.7766, -122.416292 37.777494, -122.413365 37.779862, -122.412548 37.780508, -122.410336 37.782245, -122.408952 37.783288, -122.408104 37.78402, -122.407451 37.784604, -122.406062 37.785757, -122.402708 37.783259, -122.404933 37.7815, -122.405719 37.780878, -122.407159 37.779739, -122.409387 37.777977, -122.411606 37.776221, -122.413161 37.774992, -122.415561 37.773101, -122.418704 37.775645, -122.417615 37.7766))"
49,"Census Tract 176.01, San Francisco County, California",24353,36000,12158,12219,41227,7279,10886,40893,11672,39177,14607,43421,23132,13750,2012,176.01,"POLYGON ((-122.417615 37.7766, -122.416292 37.777494, -122.413365 37.779862, -122.412548 37.780508, -122.410336 37.782245, -122.408952 37.783288, -122.408104 37.78402, -122.407451 37.784604, -122.406062 37.785757, -122.402708 37.783259, -122.404933 37.7815, -122.405719 37.780878, -122.407159 37.779739, -122.409387 37.777977, -122.411606 37.776221, -122.413161 37.774992, -122.415561 37.773101, -122.418704 37.775645, -122.417615 37.7766))"
50,"Census Tract 176.01, San Francisco County, California",23757,45490,13498,-,39132,-,10504,(X),11864,57833,-,59583,15690,11005,2015,176.01,"POLYGON ((-122.417615 37.7766, -122.416292 37.777494, -122.413365 37.779862, -122.412548 37.780508, -122.410336 37.782245, -122.408952 37.783288, -122.408104 37.78402, -122.407451 37.784604, -122.406062 37.785757, -122.402708 37.783259, -122.404933 37.7815, -122.405719 37.780878, -122.407159 37.779739, -122.409387 37.777977, -122.411606 37.776221, -122.413161 37.774992, -122.415561 37.773101, -122.418704 37.775645, -122.417615 37.7766))"
51,"Census Tract 176.01, San Francisco County, California",21154,-,10363,-,50909,-,-,-,11794,-,-,83068,13791,10911,2016,176.01,"POLYGON ((-122.417615 37.7766, -122.416292 37.777494, -122.413365 37.779862, -122.412548 37.780508, -122.410336 37.782245, -122.408952 37.783288, -122.408104 37.78402, -122.407451 37.784604, -122.406062 37.785757, -122.402708 37.783259, -122.404933 37.7815, -122.405719 37.780878, -122.407159 37.779739, -122.409387 37.777977, -122.411606 37.776221, -122.413161 37.774992, -122.415561 37.773101, -122.418704 37.775645, -122.417615 37.7766))"
52,"Census Tract 176.01, San Francisco County, California",40878,46323,-,-,64472,-,-,-,-,48872,-,107239,23375,11495,2017,176.01,"POLYGON ((-122.417615 37.7766, -122.416292 37.777494, -122.413365 37.779862, -122.412548 37.780508, -122.410336 37.782245, -122.408952 37.783288, -122.408104 37.78402, -122.407451 37.784604, -122.406062 37.785757, -122.402708 37.783259, -122.404933 37.7815, -122.405719 37.780878, -122.407159 37.779739, -122.409387 37.777977, -122.411606 37.776221, -122.413161 37.774992, -122.415561 37.773101, -122.418704 37.775645, -122.417615 37.7766))"
53,"Census Tract 176.01, San Francisco County, California",46563,48145,21979,-,69981,-,-,-,-,-,142708,107566,34293,12734,2018,176.01,"POLYGON ((-122.417615 37.7766, -122.416292 37.777494, -122.413365 37.779862, -122.412548 37.780508, -122.410336 37.782245, -122.408952 37.783288, -122.408104 37.78402, -122.407451 37.784604, -122.406062 37.785757, -122.402708 37.783259, -122.404933 37.7815, -122.405719 37.780878, -122.407159 37.779739, -122.409387 37.777977, -122.411606 37.776221, -122.413161 37.774992, -122.415561 37.773101, -122.418704 37.775645, -122.417615 37.7766))"
54,"Census Tract 178.01, San Francisco County, California",14688,88500,11838,-,12064,-,-,75357,-,88875,-,127115,88219,11613,2013,178.01,"POLYGON ((-122.404933 37.7815, -122.402708 37.783259, -122.400468 37.78503, -122.39893 37.783785, -122.397386 37.782554, -122.401843 37.779032, -122.403387 37.780265, -122.404933 37.7815))"
55,"Census Tract 178.01, San Francisco County, California",16677,87917,15043,-,12409,-,-,-,-,88363,-,120625,88036,11882,2014,178.01,"POLYGON ((-122.404933 37.7815, -122.402708 37.783259, -122.400468 37.78503, -122.39893 37.783785, -122.397386 37.782554, -122.401843 37.779032, -122.403387 37.780265, -122.404933 37.7815))"
56,"Census Tract 178.01, San Francisco County, California",18388,112969,22868,-,12231,-,-,11653,11731,114648,-,175268,96167,11871,2010,178.01,"POLYGON ((-122.404933 37.7815, -122.402708 37.783259, -122.400468 37.78503, -122.39893 37.783785, -122.397386 37.782554, -122.401843 37.779032, -122.403387 37.780265, -122.404933 37.7815))"
57,"Census Tract 178.01, San Francisco County, California",16812,121917,16673,-,12174,-,-,11901,18750,124342,-,167417,99219,11942,2011,178.01,"POLYGON ((-122.404933 37.7815, -122.402708 37.783259, -122.400468 37.78503, -122.39893 37.783785, -122.397386 37.782554, -122.401843 37.779032, -122.403387 37.780265, -122.404933 37.7815))"
58,"Census Tract 178.01, San Francisco County, California",16190,86250,15585,-,12014,-,-,11929,17708,87083,-,182596,86250,11736,2012,178.01,"POLYGON ((-122.404933 37.7815, -122.402708 37.783259, -122.400468 37.78503, -122.39893 37.783785, -122.397386 37.782554, -122.401843 37.779032, -122.403387 37.780265, -122.404933 37.7815))"
59,"Census Tract 178.01, San Francisco County, California",16837,109297,15492,-,12099,-,-,-,-,109297,(X),(X),(X),(X),2015,178.01,"POLYGON ((-122.404933 37.7815, -122.402708 37.783259, -122.400468 37.78503, -122.39893 37.783785, -122.397386 37.782554, -122.401843 37.779032, -122.403387 37.780265, -122.404933 37.7815))"
60,"Census Tract 178.01, San Francisco County, California",17113,123250,11250,-,12289,-,-,-,-,121324,-,143800,-,11697,2016,178.01,"POLYGON ((-122.404933 37.7815, -122.402708 37.783259, -122.400468 37.78503, -122.39893 37.783785, -122.397386 37.782554, -122.401843 37.779032, -122.403387 37.780265, -122.404933 37.7815))"
61,"Census Tract 178.01, San Francisco County, California",18930,158750,10000,-,15278,-,-,-,-,175093,-,159926,-,11854,2017,178.01,"POLYGON ((-122.404933 37.7815, -122.402708 37.783259, -122.400468 37.78503, -122.39893 37.783785, -122.397386 37.782554, -122.401843 37.779032, -122.403387 37.780265, -122.404933 37.7815))"
62,"Census Tract 178.01, San Francisco County, California",22450,158819,12287,-,15230,-,-,-,-,162941,-,180800,-,12128,2018,178.01,"POLYGON ((-122.404933 37.7815, -122.402708 37.783259, -122.400468 37.78503, -122.39893 37.783785, -122.397386 37.782554, -122.401843 37.779032, -122.403387 37.780265, -122.404933 37.7815))"
63,"Census Tract 178.02, San Francisco County, California",76685,106849,50521,-,55875,-,-,70435,32125,107397,-,102140,75227,14145,2013,178.02,"POLYGON ((-122.413161 37.774992, -122.411606 37.776221, -122.409387 37.777977, -122.407159 37.779739, -122.405719 37.780878, -122.404933 37.7815, -122.403387 37.780265, -122.401843 37.779032, -122.40407 37.777273, -122.408516 37.77376, -122.41248 37.77063, -122.415561 37.773101, -122.413161 37.774992))"
64,"Census Tract 178.02, San Francisco County, California",66475,103683,10368,-,58553,-,50154,70517,31778,104817,-,88833,58783,12481,2014,178.02,"POLYGON ((-122.413161 37.774992, -122.411606 37.776221, -122.409387 37.777977, -122.407159 37.779739, -122.405719 37.780878, -122.404933 37.7815, -122.403387 37.780265, -122.401843 37.779032, -122.40407 37.777273, -122.408516 37.77376, -122.41248 37.77063, -122.415561 37.773101, -122.413161 37.774992))"
65,"Census Tract 178.02, San Francisco County, California",89091,103182,48000,-,54706,-,73036,-,74063,102808,44719,94325,71167,30625,2010,178.02,"POLYGON ((-122.413161 37.774992, -122.411606 37.776221, -122.409387 37.777977, -122.407159 37.779739, -122.405719 37.780878, -122.404933 37.7815, -122.403387 37.780265, -122.401843 37.779032, -122.40407 37.777273, -122.408516 37.77376, -122.41248 37.77063, -122.415561 37.773101, -122.413161 37.774992))"
66,"Census Tract 178.02, San Francisco County, California",93281,106277,50069,-,54219,-,38293,-,39634,106489,108782,96276,73846,10898,2011,178.02,"POLYGON ((-122.413161 37.774992, -122.411606 37.776221, -122.409387 37.777977, -122.407159 37.779739, -122.405719 37.780878, -122.404933 37.7815, -122.403387 37.780265, -122.401843 37.779032, -122.40407 37.777273, -122.408516 37.77376, -122.41248 37.77063, -122.415561 37.773101, -122.413161 37.774992))"
67,"Census Tract 178.02, San Francisco County, California",92946,104864,50125,-,57935,-,48205,67847,40677,108406,108750,98679,102690,13424,2012,178.02,"POLYGON ((-122.413161 37.774992, -122.411606 37.776221, -122.409387 37.777977, -122.407159 37.779739, -122.405719 37.780878, -122.404933 37.7815, -122.403387 37.780265, -122.401843 37.779032, -122.40407 37.777273, -122.408516 37.77376, -122.41248 37.77063, -122.415561 37.773101, -122.413161 37.774992))"
68,"Census Tract 178.02, San Francisco County, California",70057,102569,(X),-,73875,-,36154,(X),37019,104097,(X),(X),(X),(X),2015,178.02,"POLYGON ((-122.413161 37.774992, -122.411606 37.776221, -122.409387 37.777977, -122.407159 37.779739, -122.405719 37.780878, -122.404933 37.7815, -122.403387 37.780265, -122.401843 37.779032, -122.40407 37.777273, -122.408516 37.77376, -122.41248 37.77063, -122.415561 37.773101, -122.413161 37.774992))"
69,"Census Tract 178.02, San Francisco County, California",69833,102852,-,-,72200,-,32500,-,38409,105917,"2,500-",101737,52391,11615,2016,178.02,"POLYGON ((-122.413161 37.774992, -122.411606 37.776221, -122.409387 37.777977, -122.407159 37.779739, -122.405719 37.780878, -122.404933 37.7815, -122.403387 37.780265, -122.401843 37.779032, -122.40407 37.777273, -122.408516 37.77376, -122.41248 37.77063, -122.415561 37.773101, -122.413161 37.774992))"
70,"Census Tract 178.02, San Francisco County, California",73966,106509,-,-,84605,-,30000,201083,40571,116250,-,114531,46802,11645,2017,178.02,"POLYGON ((-122.413161 37.774992, -122.411606 37.776221, -122.409387 37.777977, -122.407159 37.779739, -122.405719 37.780878, -122.404933 37.7815, -122.403387 37.780265, -122.401843 37.779032, -122.40407 37.777273, -122.408516 37.77376, -122.41248 37.77063, -122.415561 37.773101, -122.413161 37.774992))"
71,"Census Tract 178.02, San Francisco County, California",74005,117361,-,-,92670,-,31369,"250,000+",38108,126538,94917,127868,39654,-,2018,178.02,"POLYGON ((-122.413161 37.774992, -122.411606 37.776221, -122.409387 37.777977, -122.407159 37.779739, -122.405719 37.780878, -122.404933 37.7815, -122.403387 37.780265, -122.401843 37.779032, -122.40407 37.777273, -122.408516 37.77376, -122.41248 37.77063, -122.415561 37.773101, -122.413161 37.774992))"
72,"Census Tract 179.02, San Francisco County, California",37500,88158,27188,-,24464,-,33194,-,41563,87763,117578,39250,24786,34444,2013,179.02,"MULTIPOLYGON (((-122.332045780727 37.7877603470098, -122.327561619753 37.7806441119025, -122.33227 37.781517, -122.332045780727 37.7877603470098)), ((-122.375979 37.738477, -122.374328 37.73779, -122.373537 37.737176, -122.371996 37.737043, -122.375168 37.736504, -122.374916 37.737453, -122.375137 37.737803, -122.376458 37.738252, -122.375979 37.738477)), ((-122.377679 37.83046, -122.373453 37.832298, -122.368752 37.831286, -122.362911 37.822696, -122.364289 37.81887, -122.358779 37.814278, -122.360775 37.812831, -122.361107 37.808029, -122.362294 37.807016, -122.367138 37.807429, -122.371649 37.809379, -122.372836 37.811068, -122.371269 37.81466899999999, -122.378962 37.826897, -122.377679 37.83046)), ((-122.420365736738 37.86334229717369, -122.419585 37.863282, -122.41847 37.861764, -122.419827349401 37.8600830082779, -122.420365736738 37.86334229717369)))"
73,"Census Tract 179.02, San Francisco County, California",38077,68750,27625,-,31513,-,27273,132917,37250,51429,57045,38141,26125,95833,2014,179.02,"MULTIPOLYGON (((-122.332045780727 37.7877603470098, -122.327561619753 37.7806441119025, -122.33227 37.781517, -122.332045780727 37.7877603470098)), ((-122.375979 37.738477, -122.374328 37.73779, -122.373537 37.737176, -122.371996 37.737043, -122.375168 37.736504, -122.374916 37.737453, -122.375137 37.737803, -122.376458 37.738252, -122.375979 37.738477)), ((-122.377679 37.83046, -122.373453 37.832298, -122.368752 37.831286, -122.362911 37.822696, -122.364289 37.81887, -122.358779 37.814278, -122.360775 37.812831, -122.361107 37.808029, -122.362294 37.807016, -122.367138 37.807429, -122.371649 37.809379, -122.372836 37.811068, -122.371269 37.81466899999999, -122.378962 37.826897, -122.377679 37.83046)), ((-122.420365736738 37.86334229717369, -122.419585 37.863282, -122.41847 37.861764, -122.419827349401 37.8600830082779, -122.420365736738 37.86334229717369)))"
74,"Census Tract 179.02, San Francisco County, California",46382,61824,31250,-,45875,-,-,-,27250,65186,110595,37036,45259,-,2010,179.02,"MULTIPOLYGON (((-122.332045780727 37.7877603470098, -122.327561619753 37.7806441119025, -122.33227 37.781517, -122.332045780727 37.7877603470098)), ((-122.375979 37.738477, -122.374328 37.73779, -122.373537 37.737176, -122.371996 37.737043, -122.375168 37.736504, -122.374916 37.737453, -122.375137 37.737803, -122.376458 37.738252, -122.375979 37.738477)), ((-122.377679 37.83046, -122.373453 37.832298, -122.368752 37.831286, -122.362911 37.822696, -122.364289 37.81887, -122.358779 37.814278, -122.360775 37.812831, -122.361107 37.808029, -122.362294 37.807016, -122.367138 37.807429, -122.371649 37.809379, -122.372836 37.811068, -122.371269 37.81466899999999, -122.378962 37.826897, -122.377679 37.83046)), ((-122.420365736738 37.86334229717369, -122.419585 37.863282, -122.41847 37.861764, -122.419827349401 37.8600830082779, -122.420365736738 37.86334229717369)))"
75,"Census Tract 179.02, San Francisco County, California",35417,52222,30590,-,48352,-,-,90536,29375,57216,62132,33622,38056,-,2011,179.02,"MULTIPOLYGON (((-122.332045780727 37.7877603470098, -122.327561619753 37.7806441119025, -122.33227 37.781517, -122.332045780727 37.7877603470098)), ((-122.375979 37.738477, -122.374328 37.73779, -122.373537 37.737176, -122.371996 37.737043, -122.375168 37.736504, -122.374916 37.737453, -122.375137 37.737803, -122.376458 37.738252, -122.375979 37.738477)), ((-122.377679 37.83046, -122.373453 37.832298, -122.368752 37.831286, -122.362911 37.822696, -122.364289 37.81887, -122.358779 37.814278, -122.360775 37.812831, -122.361107 37.808029, -122.362294 37.807016, -122.367138 37.807429, -122.371649 37.809379, -122.372836 37.811068, -122.371269 37.81466899999999, -122.378962 37.826897, -122.377679 37.83046)), ((-122.420365736738 37.86334229717369, -122.419585 37.863282, -122.41847 37.861764, -122.419827349401 37.8600830082779, -122.420365736738 37.86334229717369)))"
76,"Census Tract 179.02, San Francisco County, California",36553,63654,25455,-,23098,-,36250,11786,35134,64856,64231,35303,26042,34018,2012,179.02,"MULTIPOLYGON (((-122.332045780727 37.7877603470098, -122.327561619753 37.7806441119025, -122.33227 37.781517, -122.332045780727 37.7877603470098)), ((-122.375979 37.738477, -122.374328 37.73779, -122.373537 37.737176, -122.371996 37.737043, -122.375168 37.736504, -122.374916 37.737453, -122.375137 37.737803, -122.376458 37.738252, -122.375979 37.738477)), ((-122.377679 37.83046, -122.373453 37.832298, -122.368752 37.831286, -122.362911 37.822696, -122.364289 37.81887, -122.358779 37.814278, -122.360775 37.812831, -122.361107 37.808029, -122.362294 37.807016, -122.367138 37.807429, -122.371649 37.809379, -122.372836 37.811068, -122.371269 37.81466899999999, -122.378962 37.826897, -122.377679 37.83046)), ((-122.420365736738 37.86334229717369, -122.419585 37.863282, -122.41847 37.861764, -122.419827349401 37.8600830082779, -122.420365736738 37.86334229717369)))"
77,"Census Tract 179.02, San Francisco County, California",40769,66964,29464,-,(X),-,35750,(X),26591,67500,(X),(X),(X),(X),2015,179.02,"MULTIPOLYGON (((-122.332045780727 37.7877603470098, -122.327561619753 37.7806441119025, -122.33227 37.781517, -122.332045780727 37.7877603470098)), ((-122.375979 37.738477, -122.374328 37.73779, -122.373537 37.737176, -122.371996 37.737043, -122.375168 37.736504, -122.374916 37.737453, -122.375137 37.737803, -122.376458 37.738252, -122.375979 37.738477)), ((-122.377679 37.83046, -122.373453 37.832298, -122.368752 37.831286, -122.362911 37.822696, -122.364289 37.81887, -122.358779 37.814278, -122.360775 37.812831, -122.361107 37.808029, -122.362294 37.807016, -122.367138 37.807429, -122.371649 37.809379, -122.372836 37.811068, -122.371269 37.81466899999999, -122.378962 37.826897, -122.377679 37.83046)), ((-122.420365736738 37.86334229717369, -122.419585 37.863282, -122.41847 37.861764, -122.419827349401 37.8600830082779, -122.420365736738 37.86334229717369)))"
78,"Census Tract 179.02, San Francisco County, California",49271,75250,36176,-,-,-,37188,63542,35469,71964,-,50000,49000,-,2016,179.02,"MULTIPOLYGON (((-122.332045780727 37.7877603470098, -122.327561619753 37.7806441119025, -122.33227 37.781517, -122.332045780727 37.7877603470098)), ((-122.375979 37.738477, -122.374328 37.73779, -122.373537 37.737176, -122.371996 37.737043, -122.375168 37.736504, -122.374916 37.737453, -122.375137 37.737803, -122.376458 37.738252, -122.375979 37.738477)), ((-122.377679 37.83046, -122.373453 37.832298, -122.368752 37.831286, -122.362911 37.822696, -122.364289 37.81887, -122.358779 37.814278, -122.360775 37.812831, -122.361107 37.808029, -122.362294 37.807016, -122.367138 37.807429, -122.371649 37.809379, -122.372836 37.811068, -122.371269 37.81466899999999, -122.378962 37.826897, -122.377679 37.83046)), ((-122.420365736738 37.86334229717369, -122.419585 37.863282, -122.41847 37.861764, -122.419827349401 37.8600830082779, -122.420365736738 37.86334229717369)))"
79,"Census Tract 179.02, San Francisco County, California",52143,71750,37063,-,-,-,-,-,-,75000,-,55227,49286,139500,2017,179.02,"MULTIPOLYGON (((-122.332045780727 37.7877603470098, -122.327561619753 37.7806441119025, -122.33227 37.781517, -122.332045780727 37.7877603470098)), ((-122.375979 37.738477, -122.374328 37.73779, -122.373537 37.737176, -122.371996 37.737043, -122.375168 37.736504, -122.374916 37.737453, -122.375137 37.737803, -122.376458 37.738252, -122.375979 37.738477)), ((-122.377679 37.83046, -122.373453 37.832298, -122.368752 37.831286, -122.362911 37.822696, -122.364289 37.81887, -122.358779 37.814278, -122.360775 37.812831, -122.361107 37.808029, -122.362294 37.807016, -122.367138 37.807429, -122.371649 37.809379, -122.372836 37.811068, -122.371269 37.81466899999999, -122.378962 37.826897, -122.377679 37.83046)), ((-122.420365736738 37.86334229717369, -122.419585 37.863282, -122.41847 37.861764, -122.419827349401 37.8600830082779, -122.420365736738 37.86334229717369)))"
80,"Census Tract 179.02, San Francisco County, California",59063,100096,36282,-,-,-,-,-,65313,135156,-,57938,79250,-,2018,179.02,"MULTIPOLYGON (((-122.332045780727 37.7877603470098, -122.327561619753 37.7806441119025, -122.33227 37.781517, -122.332045780727 37.7877603470098)), ((-122.375979 37.738477, -122.374328 37.73779, -122.373537 37.737176, -122.371996 37.737043, -122.375168 37.736504, -122.374916 37.737453, -122.375137 37.737803, -122.376458 37.738252, -122.375979 37.738477)), ((-122.377679 37.83046, -122.373453 37.832298, -122.368752 37.831286, -122.362911 37.822696, -122.364289 37.81887, -122.358779 37.814278, -122.360775 37.812831, -122.361107 37.808029, -122.362294 37.807016, -122.367138 37.807429, -122.371649 37.809379, -122.372836 37.811068, -122.371269 37.81466899999999, -122.378962 37.826897, -122.377679 37.83046)), ((-122.420365736738 37.86334229717369, -122.419585 37.863282, -122.41847 37.861764, -122.419827349401 37.8600830082779, -122.420365736738 37.86334229717369)))"
81,"Census Tract 204.01, San Francisco County, California",126579,135389,-,-,67366,-,-,"250,000+",149000,133594,-,148935,102375,100455,2013,204.01,"POLYGON ((-122.447915 37.757589, -122.446395 37.758856, -122.446394 37.760907, -122.446783 37.761781, -122.446384 37.761816, -122.444196 37.761947, -122.440168 37.762187, -122.439491 37.762227, -122.439337 37.760627, -122.439167 37.759028, -122.442175 37.758939, -122.442258 37.757734, -122.44222 37.756639, -122.445106 37.756961, -122.444485 37.756354, -122.445283 37.756573, -122.44695 37.75655, -122.447915 37.757589))"
82,"Census Tract 204.01, San Francisco County, California",138021,140301,-,-,84250,-,-,"250,000+",205268,138854,101500,153250,135208,103194,2014,204.01,"POLYGON ((-122.447915 37.757589, -122.446395 37.758856, -122.446394 37.760907, -122.446783 37.761781, -122.446384 37.761816, -122.444196 37.761947, -122.440168 37.762187, -122.439491 37.762227, -122.439337 37.760627, -122.439167 37.759028, -122.442175 37.758939, -122.442258 37.757734, -122.44222 37.756639, -122.445106 37.756961, -122.444485 37.756354, -122.445283 37.756573, -122.44695 37.75655, -122.447915 37.757589))"
83,"Census Tract 204.01, San Francisco County, California",105263,103221,-,-,101944,-,-,153125,141563,101203,64423,120417,103558,40724,2010,204.01,"POLYGON ((-122.447915 37.757589, -122.446395 37.758856, -122.446394 37.760907, -122.446783 37.761781, -122.446384 37.761816, -122.444196 37.761947, -122.440168 37.762187, -122.439491 37.762227, -122.439337 37.760627, -122.439167 37.759028, -122.442175 37.758939, -122.442258 37.757734, -122.44222 37.756639, -122.445106 37.756961, -122.444485 37.756354, -122.445283 37.756573, -122.44695 37.75655, -122.447915 37.757589))"
84,"Census Tract 204.01, San Francisco County, California",120919,121324,-,-,104107,-,-,159702,143676,118667,116250,130625,116094,48984,2011,204.01,"POLYGON ((-122.447915 37.757589, -122.446395 37.758856, -122.446394 37.760907, -122.446783 37.761781, -122.446384 37.761816, -122.444196 37.761947, -122.440168 37.762187, -122.439491 37.762227, -122.439337 37.760627, -122.439167 37.759028, -122.442175 37.758939, -122.442258 37.757734, -122.44222 37.756639, -122.445106 37.756961, -122.444485 37.756354, -122.445283 37.756573, -122.44695 37.75655, -122.447915 37.757589))"
