,Total  Estimate  Population 25 years and over,Total  Estimate  Less than 9th grade,"Total  Estimate  9th to 12th grade, no diploma",Total  Estimate  High school graduate (includes equivalency),Total  Estimate  High school graduate (includes equivalency),Total  Estimate  High school graduate (includes equivalency),Total  Estimate  High school graduate (includes equivalency),Total  Estimate  Some college or associate's degree,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,"Total  Estimate  Some college, no degree",Total  Estimate  Associate's degree,Total  Estimate  Bachelor's degree,Total  Estimate  Graduate or professional degree,Total  Estimate  Percent high school graduate or higher,Total  Estimate  Percent bachelor's degree or higher,Name,tract
34,3446,0,1.6,28,3.9,28,3.9,0,72,91.7,81.2,78.1,56.9,72,91.7,81.2,78.1,56.9,72,91.7,81.2,78.1,56.9,72,91.7,81.2,78.1,56.9,72,91.7,81.2,78.1,56.9,10.4,1.9,51.2,31.2,98.4,82.3,"Census Tract 130, San Francisco County, California",130.0
35,3369,0.5,0.4,0,6.1,0,6.1,37.5,62.5,91.6,85.3,64.9,47.8,62.5,91.6,85.3,64.9,47.8,62.5,91.6,85.3,64.9,47.8,62.5,91.6,85.3,64.9,47.8,62.5,91.6,85.3,64.9,47.8,9.1,2.8,57.6,23.4,99.1,81,"Census Tract 131.01, San Francisco County, California",131.01
36,2400,0,1.1,10.5,4,10.5,4,40.3,45.7,97.5,87.7,77.4,55.5,45.7,97.5,87.7,77.4,55.5,45.7,97.5,87.7,77.4,55.5,45.7,97.5,87.7,77.4,55.5,45.7,97.5,87.7,77.4,55.5,9.3,3.8,37.8,44,98.9,81.8,"Census Tract 131.02, San Francisco County, California",131.02
37,3567,0.7,0.4,2.4,6.4,2.4,6.4,5.4,87.1,90.1,82.9,79.9,62,87.1,90.1,82.9,79.9,62,87.1,90.1,82.9,79.9,62,87.1,90.1,82.9,79.9,62,87.1,90.1,82.9,79.9,62,9.8,3.4,35.2,44,98.9,79.3,"Census Tract 132, San Francisco County, California",132.0
38,2915,0.8,0.9,15.4,4,15.4,4,8.6,66.9,79.6,80,73.3,68.9,66.9,79.6,80,73.3,68.9,66.9,79.6,80,73.3,68.9,66.9,79.6,80,73.3,68.9,66.9,79.6,80,73.3,68.9,13.6,5.8,41.4,33.4,98.3,74.8,"Census Tract 133, San Francisco County, California",133.0
39,2774,0.8,0.4,0,6.4,0,6.4,0,67.9,95.9,91.3,82.4,55,67.9,95.9,91.3,82.4,55,67.9,95.9,91.3,82.4,55,67.9,95.9,91.3,82.4,55,67.9,95.9,91.3,82.4,55,6.2,2,42.2,42,98.8,84.2,"Census Tract 134, San Francisco County, California",134.0
40,2366,0,2.5,0,3.7,0,3.7,15.9,84.1,97.3,94.3,61.4,63.4,84.1,97.3,94.3,61.4,63.4,84.1,97.3,94.3,61.4,63.4,84.1,97.3,94.3,61.4,63.4,84.1,97.3,94.3,61.4,63.4,6.9,3,41.2,42.7,97.5,83.9,"Census Tract 135, San Francisco County, California",135.0
41,1980,1.4,3,0,7.5,0,7.5,12.8,87.2,88.6,66.2,65,54.5,87.2,88.6,66.2,65,54.5,87.2,88.6,66.2,65,54.5,87.2,88.6,66.2,65,54.5,87.2,88.6,66.2,65,54.5,16.3,4.9,43.2,23.6,95.6,66.9,"Census Tract 151, San Francisco County, California",151.0
42,3235,1.5,3.2,6.2,10.8,6.2,10.8,22.6,66.4,84.9,73.8,73.1,41.9,66.4,84.9,73.8,73.1,41.9,66.4,84.9,73.8,73.1,41.9,66.4,84.9,73.8,73.1,41.9,66.4,84.9,73.8,73.1,41.9,10,5.5,35.1,34,95.3,69.1,"Census Tract 152, San Francisco County, California",152.0
43,1596,0.9,1.3,24.4,10.8,24.4,10.8,9.2,66.4,95.3,60,58.2,34.8,66.4,95.3,60,58.2,34.8,66.4,95.3,60,58.2,34.8,66.4,95.3,60,58.2,34.8,66.4,95.3,60,58.2,34.8,12.9,6.5,49.6,18.1,97.8,67.7,"Census Tract 153, San Francisco County, California",153.0
