Case Number,Pre Buyout Disclosure Declaration Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Address,ZIP Code,Supervisor District,Analysis Neighborhood,point,geocoding_confidence,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary,Invest In Neighborhoods (IIN) Areas,Civic Center Harm Reduction Project Boundary,Neighborhoods
B181831,06/15/2018,,,,,,1552 Hudson Avenue,94124,10,Bayview Hunters Point,POINT (-122.38736295957406 37.73959401413607),100,86,2,9,1,1,3,8,10,58,2,,,,86
B171761,06/30/2017,09/15/2017,40000.00,,true,2,1006 Page Street,94117,5,Haight Ashbury,POINT (-122.43740487715834 37.77224420683471),100,112,7,11,3,9,5,11,15,29492,1,,,,112
B192453,09/24/2019,,,,,,288 27th Street,94131,8,Noe Valley,POINT (-122.42669979107684 37.74697352427553),100,84,9,5,22,22,7,5,2,63,1,,,,84
B190319,02/12/2019,05/09/2019,20400.00,,,5,271 Kensington Way,94127,7,West of Twin Peaks,POINT (-122.46175496952291 37.742791258611284),100,49,10,8,41,40,8,4,1,59,1,,,,49
B192436,09/19/2019,,,,,,625 Scott Street,94117,5,Hayes Valley,POINT (-122.43625972458388 37.775444621183034),100,23,4,11,9,10,5,11,15,29492,1,,,,23
B170434,02/27/2017,,,,,,1701 Lane Street,94124,10,Bayview Hunters Point,POINT (-122.39013820780173 37.73161718791161),100,86,2,9,1,1,3,8,10,58,2,,,,86
B181415,05/03/2018,,,,,,209 20th Avenue,94121,1,Outer Richmond,POINT (-122.47971879483417 37.783928121039395),100,8,8,4,29,26,6,2,11,55,2,,,,8
B183380,12/10/2018,,,,,,1462 San Bruno Avenue,94110,10,Mission,POINT (-122.40411479703933 37.750018347849895),100,54,3,9,20,19,4,8,10,28859,1,,,,54
B171320,05/15/2017,,,,,,3099 Washington Street,94115,2,Pacific Heights,POINT (-122.4442530562239 37.79028364260326),100,102,8,6,30,27,6,1,13,29490,1,,,,102
B190034,01/08/2019,,,,,,1157 Broadway Street,94109,3,Nob Hill,POINT (-122.41612902681975 37.796636793781985),89.04,107,6,3,21,21,1,10,5,28858,1,,,,107
B182055,07/12/2018,10/10/2018,60116.00,,,3,1163 South Van Ness Avenue,94110,9,Mission,POINT (-122.41641519937374 37.75457755448222),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B152273,09/01/2015,,,,,,1959 31st Avenue,94116,4,Sunset/Parkside,POINT (-122.48920130822957 37.7507158755242),100,39,10,7,35,35,8,3,1,29491,1,,,,39
B170751,03/22/2017,,,,,,3324 19th Street,94110,9,Mission,POINT (-122.41755093705174 37.76039614086737),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B162296,07/11/2016,10/06/2016,7000.00,,,1,2159 California Street,94115,5,Pacific Heights,POINT (-122.42987249216976 37.789361767827394),100,102,4,11,30,27,9,11,13,29490,1,,,,102
B170624,03/09/2017,,,,,2,1801 Beach Street,94123,2,Marina,POINT (-122.4392855896988 37.804028239705715),100,17,4,6,13,17,9,1,13,57,1,,,,17
B191749,07/22/2019,,,,,,62 Baker Street,94117,5,Haight Ashbury,POINT (-122.44041900262609 37.77143638843351),100,112,7,11,3,9,5,11,15,29492,1,,,,112
B181981,06/29/2018,09/24/2019,50526.99,,true,1,2835 Octavia Street,94123,2,Marina,POINT (-122.42906258907435 37.79825360834898),100,15,4,6,13,17,9,1,13,57,1,,,,15
B182613,09/10/2018,11/26/2018,72581.00,,,5,2818 Harrison Street,94110,9,Mission,POINT (-122.41195088352096 37.752306175905),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B171863,07/24/2017,,,,,,1945 McAllister Street,94117,5,Lone Mountain/USF,POINT (-122.444067313207 37.77702166670052),100,97,7,11,18,16,5,11,15,29492,1,,,,97
B182416,08/16/2018,,,,,,648 ashbury Street,94117,5,Haight Ashbury,POINT (-122.44678606780668 37.76956358884198),100,25,7,11,3,9,5,11,15,29492,1,,,,25
B190561,03/15/2019,05/06/2019,47000.00,,,5,417 32nd Avenue,94121,1,Outer Richmond,POINT (-122.49243125504098 37.781324330161794),100,8,8,4,29,26,6,2,11,55,2,,,,8
B152258,08/14/2015,10/28/2015,62000.00,,,2,2253 15th Street,94114,8,Castro/Upper Market,POINT (-122.43443545069292 37.76574087059343),100,28,7,5,5,3,5,5,15,28862,1,,,,28
B182831,,10/10/2018,0.00,,,2,499 Marina Boulevard,94123,2,Marina,POINT (-122.44216011430882 37.80573251428375),100,17,4,6,13,17,9,1,13,57,1,,,,17
B182198,07/19/2018,,,,,,1055 Mason Street,94108,3,Nob Hill,POINT (-122.41121892991819 37.79339816083511),100,16,6,3,21,21,1,10,3,28857,1,,,,16
B162861,09/09/2016,11/17/2016,60000.00,,true,1,2159 california Street,94115,5,Pacific Heights,POINT (-122.42987249216976 37.789361767827394),100,102,4,11,30,27,9,11,13,29490,1,,,,102
B151902,07/17/2015,02/05/2016,50361.14,,,2,392 CApp Street,94110,9,Mission,POINT (-122.41821373176022 37.76044196947077),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B153058,11/03/2015,,,,,,263 Laguna Street,94102,5,Hayes Valley,POINT (-122.42573592037688 37.77343547876627),100,26,4,11,9,10,9,11,7,28852,1,,,,26
B150600,03/18/2015,,,,,,3900 Cabrillo Street,94121,1,Outer Richmond,POINT (-122.50043582630778 37.77376028376171),100,8,8,4,29,26,6,2,11,55,1,,,,8
