,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  One race  White,Median income (dollars)  Estimate  One race  Black or African American,Median income (dollars)  Estimate  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  One race  Asian,Median income (dollars)  Estimate  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  One race  Some other race,Median income (dollars)  Estimate  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over
155,"Census Tract 329.02, San Francisco County, California",95435,91250,-,-,97174,-,-,-,100673,90156,-,158177,97228,44196
156,"Census Tract 330, San Francisco County, California",101071,65781,-,-,119063,-,-,60929,140385,64043,33542,124688,125000,40650
157,"Census Tract 331, San Francisco County, California",112125,93750,-,-,123640,-,-,102596,88816,94511,-,161354,116591,59806
158,"Census Tract 332.01, San Francisco County, California",29531,43500,9669,-,19957,-,"2,500-",23750,10500,45341,9617,31042,87750,27200
159,"Census Tract 332.03, San Francisco County, California",61818,67841,17237,-,56917,-,80787,59489,49861,70391,37574,81250,80893,27353
160,"Census Tract 332.04, San Francisco County, California",41813,49167,14974,-,27029,-,13750,77857,25735,48712,14859,60083,77857,28144
161,"Census Tract 351, San Francisco County, California",89401,101641,-,-,86083,-,-,16484,69417,101516,57117,104583,96321,46250
162,"Census Tract 352.01, San Francisco County, California",64770,58542,-,-,67896,190417,-,57321,63214,57969,34722,68269,76375,45625
163,"Census Tract 352.02, San Francisco County, California",67529,66736,43077,-,64554,-,69821,62969,91447,65868,29583,77106,72396,32337
164,"Census Tract 353, San Francisco County, California",74519,83854,-,-,71635,-,155147,71691,72168,83646,14153,106078,96000,47232
165,"Census Tract 354, San Francisco County, California",75300,80565,19714,-,77300,-,53438,130313,52760,80060,33289,74938,86944,56696
166,"Census Tract 401, San Francisco County, California",60481,105268,"2,500-",-,53583,-,44021,23482,44146,106339,41771,94500,50568,49135
167,"Census Tract 402, San Francisco County, California",85641,91997,"2,500-",-,74911,-,-,67422,110583,92198,23854,120703,64229,57672
168,"Census Tract 426.01, San Francisco County, California",63011,64602,-,-,71833,-,29188,51442,33625,64091,28043,62679,99107,31518
169,"Census Tract 426.02, San Francisco County, California",65750,80081,-,-,47473,77933,-,62727,49000,80444,23250,70469,86641,40786
170,"Census Tract 427, San Francisco County, California",79762,86508,57262,-,62578,-,52656,-,52396,86186,31250,106250,84881,29866
171,"Census Tract 428, San Francisco County, California",149750,210500,-,-,70250,-,-,119327,119615,211250,-,134107,211667,134643
172,"Census Tract 451, San Francisco County, California",72781,86335,35978,-,55929,-,"2,500-",87738,6851,91161,24107,88393,50929,40871
173,"Census Tract 452, San Francisco County, California",66367,94750,-,-,47083,57381,-,108000,63750,95655,46316,93828,92831,32838
174,"Census Tract 476, San Francisco County, California",68854,79760,-,-,56983,-,-,96442,103194,78750,50032,88816,64752,21639
175,"Census Tract 477.01, San Francisco County, California",66136,70000,78214,-,58333,12422,-,80375,59087,75556,42933,80227,69875,32500
176,"Census Tract 477.02, San Francisco County, California",73424,63529,-,-,85156,-,31635,110972,185417,62647,11719,100500,111172,23636
177,"Census Tract 478.01, San Francisco County, California",68194,64263,-,-,68977,-,70625,125667,20625,64679,21607,84621,67652,61458
178,"Census Tract 478.02, San Francisco County, California",66023,54031,-,-,91228,-,63750,49602,24148,54643,22286,54005,99034,48083
179,"Census Tract 479.01, San Francisco County, California",75085,82025,64038,-,62705,-,-,77167,36250,95856,-,80435,89620,32569
180,"Census Tract 479.02, San Francisco County, California",80495,83836,7344,-,70875,-,76371,100833,83793,82036,6797,92917,85313,48393
181,"Census Tract 601, San Francisco County, California",120438,114701,-,-,"250,000+",-,-,-,22000,121406,44167,141827,104643,63750
182,"Census Tract 604, San Francisco County, California",53590,48147,22232,-,57232,-,60038,115345,74875,40781,"2,500-",69091,53281,29849
183,"Census Tract 605.02, San Francisco County, California",22295,20781,17976,29286,57500,26607,42778,9219,47955,4500,30667,26893,24750,11463
184,"Census Tract 607, San Francisco County, California",101322,143391,16384,-,68586,-,61648,21728,63576,143090,3661,127101,56265,19797
185,"Census Tract 610, San Francisco County, California",96823,112308,72946,"2,500-",88036,-,170650,110972,95682,114300,95227,104762,98036,48900
186,"Census Tract 611, San Francisco County, California",14484,13889,-,-,14222,-,-,10781,9063,18068,"2,500-",24087,20488,12068
187,"Census Tract 612, San Francisco County, California",46104,55565,27788,-,86771,-,50417,59531,50495,98125,26479,45333,59375,27885
188,"Census Tract 614, San Francisco County, California",99861,133566,22625,"2,500-",47917,26875,51595,110446,87679,126484,63102,134861,72155,49519
189,"Census Tract 615, San Francisco County, California",117824,139000,56188,-,112227,-,-,103770,56985,145869,"2,500-",122500,142107,47301
190,"Census Tract 9802, San Francisco County, California",69135,76111,-,-,68250,-,-,-,36667,77361,-,92917,200125,68077
191,"Census Tract 9803, San Francisco County, California",100938,91667,-,-,-,-,-,-,-,91667,-,91667,-,-
192,"Census Tract 9804.01, San Francisco County, California",-,-,-,-,-,-,-,-,-,-,-,-,-,-
193,"Census Tract 9805.01, San Francisco County, California",15900,128125,"2,500-",-,19044,-,-,13550,24500,129125,13200,119063,16193,18309
194,"Census Tract 9806, San Francisco County, California",67083,130104,64519,-,56250,-,-,-,29792,-,-,130104,66944,55000
195,"Census Tract 9809, San Francisco County, California",156613,231563,11691,-,155323,-,-,-,-,231563,-,165139,11964,-
196,"Census Tract 9901, San Francisco County, California",-,-,-,-,-,-,-,-,-,-,-,-,-,-
197,United States,53046,56203,35564,37469,71709,54938,40405,46787,41994,57952,25955,58073,64486,36181
198,"San Francisco city, California",73802,89068,30491,35700,63686,46224,50290,65181,55634,95011,35019,98900,75011,36343
