,Estimate  Total  Population 25 years and over  Less than 9th grade,"Estimate  Total  Population 25 years and over  9th to 12th grade, no diploma",Estimate  Total  Population 25 years and over  High school graduate (includes equivalency),"Estimate  Total  Population 25 years and over  Some college, no degree",Estimate  Total  Population 25 years and over  Associate's degree,Estimate  Total  Population 25 years and over  Bachelor's degree,Estimate  Total  Population 25 years and over  Graduate or professional degree,Estimate  Total  Population 25 years and over  High school graduate or higher,Estimate  Total  Population 25 years and over  Bachelor's degree or higher,Estimate  Percent  Population 25 years and over  Less than 9th grade,"Estimate  Percent  Population 25 years and over  9th to 12th grade, no diploma",Estimate  Percent  Population 25 years and over  High school graduate (includes equivalency),"Estimate  Percent  Population 25 years and over  Some college, no degree",Estimate  Percent  Population 25 years and over  Associate's degree,Estimate  Percent  Population 25 years and over  Bachelor's degree,Estimate  Percent  Population 25 years and over  Graduate or professional degree,Estimate  Percent  Population 25 years and over  High school graduate or higher,Estimate  Percent  Population 25 years and over  Bachelor's degree or higher,Name,tract,geometry
39,94,11,127,160,71,946,863,2167,1809,4.1,0.5,5.6,7.0,3.1,41.6,38.0,95.4,79.6,"Census Tract 135, San Francisco County, California",135.0,"POLYGON ((-122.436204 37.792263, -122.434558 37.792472, -122.429625 37.793098, -122.42927 37.791339, -122.428905 37.789534, -122.43384 37.788906, -122.435486 37.788697, -122.435849 37.790502, -122.436204 37.792263))"
40,38,21,156,332,67,1155,674,2384,1829,1.6,0.9,6.4,13.6,2.7,47.3,27.6,97.6,74.9,"Census Tract 151, San Francisco County, California",151.0,"POLYGON ((-122.425616 37.789952, -122.42242 37.790358, -122.422237 37.789399, -122.422077 37.788474, -122.421858 37.787535, -122.421461 37.786632, -122.421256 37.784745, -122.422838 37.784547, -122.424678 37.785291, -122.424704 37.785418, -122.425047 37.78713, -122.425616 37.789952))"
41,166,78,277,632,114,1463,1026,3512,2489,4.4,2.1,7.4,16.8,3.0,39.0,27.3,93.5,66.3,"Census Tract 152, San Francisco County, California",152.0,"POLYGON ((-122.435486 37.788697, -122.43384 37.788906, -122.428905 37.789534, -122.425616 37.789952, -122.425047 37.78713, -122.428336 37.786713, -122.431635 37.786293, -122.434918 37.785876, -122.435486 37.788697))"
42,86,84,100,170,56,824,547,1697,1371,4.6,4.5,5.4,9.1,3.0,44.1,29.3,90.9,73.4,"Census Tract 153, San Francisco County, California",153.0,"POLYGON ((-122.443753 37.787647, -122.440488 37.788061, -122.438773 37.788278, -122.435486 37.788697, -122.434918 37.785876, -122.436557 37.785668, -122.438206 37.785459, -122.443183 37.784827, -122.44337 37.785759, -122.443753 37.787647))"
43,22,146,259,480,242,2127,1649,4757,3776,0.4,3.0,5.3,9.7,4.9,43.2,33.5,96.6,76.7,"Census Tract 154, San Francisco County, California",154.0,"POLYGON ((-122.459179 37.785682, -122.45505 37.786209, -122.454774 37.786244, -122.450118 37.786838, -122.445402 37.787438, -122.443753 37.787647, -122.44337 37.785759, -122.443183 37.784827, -122.44281 37.782971, -122.442793 37.782885, -122.445826 37.782512, -122.447302 37.782392, -122.454186 37.781651, -122.456304 37.78144899999999, -122.458878 37.781326, -122.458998 37.783189, -122.459179 37.785682))"
44,227,0,695,659,189,865,582,2990,1447,7.1,0.0,21.6,20.5,5.9,26.9,18.1,92.9,45.0,"Census Tract 155, San Francisco County, California",155.0,"POLYGON ((-122.443183 37.784827, -122.438206 37.785459, -122.436557 37.785668, -122.434918 37.785876, -122.431635 37.786293, -122.428336 37.786713, -122.425047 37.78713, -122.424704 37.785418, -122.431291 37.784621, -122.434562 37.784152, -122.437863 37.783791, -122.438901 37.78344999999999, -122.44281 37.782971, -122.443183 37.784827))"
45,252,96,252,187,46,1071,671,2227,1742,9.8,3.7,9.8,7.3,1.8,41.6,26.1,86.5,67.7,"Census Tract 156, San Francisco County, California",156.0,"POLYGON ((-122.458878 37.781326, -122.456304 37.78144899999999, -122.454186 37.781651, -122.453385 37.77782699999999, -122.455217 37.777599, -122.454683 37.774755, -122.458371 37.774309, -122.458505 37.77619, -122.458878 37.781326))"
46,62,204,367,405,182,2285,1801,5040,4086,1.2,3.8,6.9,7.6,3.4,43.1,33.9,95.0,77.0,"Census Tract 157, San Francisco County, California",157.0,"POLYGON ((-122.455217 37.777599, -122.453385 37.77782699999999, -122.454186 37.781651, -122.447302 37.782392, -122.445826 37.782512, -122.442793 37.782885, -122.441512 37.782096, -122.440958 37.779364, -122.442053 37.779244, -122.441866 37.7783, -122.441488 37.776435, -122.44478 37.776017, -122.446471 37.775802, -122.448068 37.775599, -122.451358 37.775175, -122.454683 37.774755, -122.455217 37.777599))"
47,142,44,374,558,178,1072,693,2875,1765,4.6,1.4,12.2,18.2,5.8,35.0,22.6,93.9,57.7,"Census Tract 158.01, San Francisco County, California",158.01,"POLYGON ((-122.44281 37.782971, -122.438901 37.78344999999999, -122.437863 37.783791, -122.434562 37.784152, -122.433973 37.781219, -122.433596 37.779355, -122.433407 37.778422, -122.436697 37.778006, -122.437072 37.779867, -122.440958 37.779364, -122.441512 37.782096, -122.442793 37.782885, -122.44281 37.782971))"
48,16,39,148,401,84,1279,860,2772,2139,0.6,1.4,5.2,14.2,3.0,45.2,30.4,98.1,75.7,"Census Tract 158.02, San Francisco County, California",158.02,"POLYGON ((-122.442053 37.779244, -122.440958 37.779364, -122.437072 37.779867, -122.436697 37.778006, -122.433407 37.778422, -122.433219 37.77749, -122.438244 37.776848, -122.441488 37.776435, -122.441866 37.7783, -122.442053 37.779244))"
