,Estimate  Total  Population 25 years and over  Less than 9th grade,"Estimate  Total  Population 25 years and over  9th to 12th grade, no diploma",Estimate  Total  Population 25 years and over  High school graduate (includes equivalency),"Estimate  Total  Population 25 years and over  Some college, no degree",Estimate  Total  Population 25 years and over  Associate's degree,Estimate  Total  Population 25 years and over  Bachelor's degree,Estimate  Total  Population 25 years and over  Graduate or professional degree,Estimate  Total  Population 25 years and over  High school graduate or higher,Estimate  Total  Population 25 years and over  Bachelor's degree or higher,Estimate  Percent  Population 25 years and over  Less than 9th grade,"Estimate  Percent  Population 25 years and over  9th to 12th grade, no diploma",Estimate  Percent  Population 25 years and over  High school graduate (includes equivalency),"Estimate  Percent  Population 25 years and over  Some college, no degree",Estimate  Percent  Population 25 years and over  Associate's degree,Estimate  Percent  Population 25 years and over  Bachelor's degree,Estimate  Percent  Population 25 years and over  Graduate or professional degree,Estimate  Percent  Population 25 years and over  High school graduate or higher,Estimate  Percent  Population 25 years and over  Bachelor's degree or higher,Name,tract,geometry
146,292,164,571,666,264,887,515,2903,1402,8.7,4.9,17.0,19.8,7.9,26.4,15.3,86.4,41.7,"Census Tract 313.01, San Francisco County, California",313.01,"POLYGON ((-122.472547 37.71964, -122.47244 37.721603, -122.471983 37.721661, -122.46974 37.721644, -122.466278 37.721668, -122.462265 37.721748, -122.462245 37.71822, -122.46264 37.717936, -122.466235 37.717912, -122.468036 37.7179, -122.468017 37.716103, -122.471572 37.716126, -122.472672 37.717248, -122.472547 37.71964))"
147,624,305,756,844,336,1147,555,3638,1702,13.7,6.7,16.6,18.5,7.4,25.1,12.2,79.7,37.3,"Census Tract 313.02, San Francisco County, California",313.02,"POLYGON ((-122.471572 37.716126, -122.468017 37.716103, -122.468036 37.7179, -122.466235 37.717912, -122.46264 37.717936, -122.462615 37.715619, -122.462602 37.714308, -122.462569 37.71315, -122.462556 37.711254, -122.460858 37.710586, -122.465994 37.710154, -122.468939 37.708232, -122.469236 37.708232, -122.471319 37.708305, -122.471215 37.708939, -122.471355 37.712802, -122.471472 37.713427, -122.472672 37.717248, -122.471572 37.716126))"
148,613,678,1085,1178,250,935,394,3842,1329,11.9,13.2,21.1,22.9,4.9,18.2,7.7,74.8,25.9,"Census Tract 314, San Francisco County, California",314.0,"POLYGON ((-122.46264 37.717936, -122.462245 37.71822, -122.459187 37.71823, -122.456108 37.718235, -122.454189 37.718239, -122.453378 37.717768, -122.451895 37.716978, -122.450378 37.716169, -122.448582 37.718411, -122.448727 37.71745, -122.449627 37.715739, -122.452884 37.712829, -122.455028 37.711317, -122.455619 37.711066, -122.456376 37.710825, -122.457312 37.710648, -122.460858 37.710586, -122.462556 37.711254, -122.462569 37.71315, -122.462602 37.714308, -122.462615 37.715619, -122.46264 37.717936))"
149,166,120,416,711,414,1693,679,3913,2372,4.0,2.9,9.9,16.9,9.9,40.3,16.2,93.2,56.5,"Census Tract 326.01, San Francisco County, California",326.01,"POLYGON ((-122.484763 37.76516, -122.477261 37.765486, -122.477116 37.763562, -122.476974 37.761701, -122.476762 37.759837, -122.47687 37.759832, -122.484365 37.759501, -122.484496 37.76137, -122.484627 37.763231, -122.484763 37.76516))"
150,395,249,539,550,204,1251,673,3217,1924,10.2,6.4,14.0,14.2,5.3,32.4,17.4,83.3,49.8,"Census Tract 326.02, San Francisco County, California",326.02,"POLYGON ((-122.486906 37.765054, -122.484763 37.76516, -122.484627 37.763231, -122.484496 37.76137, -122.484365 37.759501, -122.47687 37.759832, -122.476699 37.757968, -122.4766 37.756108, -122.479817 37.755966, -122.484104 37.75577699999999, -122.486248 37.755683, -122.486382 37.757542, -122.486512 37.759407, -122.48664 37.761276, -122.48677 37.763137, -122.486906 37.765054))"
151,358,178,623,731,399,2226,869,4848,3095,6.6,3.3,11.6,13.6,7.4,41.3,16.1,90.0,57.5,"Census Tract 327, San Francisco County, California",327.0,"POLYGON ((-122.496085 37.764675, -122.493336 37.764774, -122.486906 37.765054, -122.48677 37.763137, -122.48664 37.761276, -122.486512 37.759407, -122.486382 37.757542, -122.486248 37.755683, -122.492675 37.755398, -122.495433 37.755273, -122.495555 37.757137, -122.495692 37.759001, -122.495822 37.760871, -122.49595 37.762732, -122.496085 37.764675))"
152,327,233,460,534,281,1179,578,3032,1757,9.1,6.5,12.8,14.9,7.8,32.8,16.1,84.4,48.9,"Census Tract 328.01, San Francisco County, California",328.01,"POLYGON ((-122.485727 37.74822, -122.479296 37.748504, -122.479426 37.750368, -122.476221 37.750509, -122.476131 37.748643, -122.476007 37.746778, -122.475854 37.744915, -122.475726 37.743049, -122.485335 37.742626, -122.485466 37.744493, -122.485597 37.746354, -122.485727 37.74822))"
153,118,149,442,601,354,1084,585,3066,1669,3.5,4.5,13.3,18.0,10.6,32.5,17.6,92.0,50.1,"Census Tract 328.02, San Francisco County, California",328.02,"POLYGON ((-122.486248 37.755683, -122.484104 37.75577699999999, -122.479817 37.755966, -122.4766 37.756108, -122.476355 37.752376, -122.476221 37.750509, -122.479426 37.750368, -122.479296 37.748504, -122.485727 37.74822, -122.485857 37.750085, -122.485988 37.751951, -122.486118 37.753815, -122.486248 37.755683))"
154,296,69,641,840,418,1575,659,4133,2234,6.6,1.5,14.3,18.7,9.3,35.0,14.7,91.9,49.7,"Census Tract 329.01, San Francisco County, California",329.01,"POLYGON ((-122.495046 37.749681, -122.485857 37.750085, -122.485727 37.74822, -122.485597 37.746354, -122.485466 37.744493, -122.485335 37.742626, -122.494504 37.742222, -122.494646 37.744089, -122.494774 37.745949, -122.494911 37.747814, -122.495046 37.749681))"
155,319,177,515,537,306,1051,456,2865,1507,9.5,5.3,15.3,16.0,9.1,31.3,13.6,85.2,44.8,"Census Tract 329.02, San Francisco County, California",329.02,"POLYGON ((-122.495433 37.755273, -122.492675 37.755398, -122.486248 37.755683, -122.486118 37.753815, -122.485988 37.751951, -122.485857 37.750085, -122.495046 37.749681, -122.495165 37.751543, -122.495307 37.75341, -122.495433 37.755273))"
156,333,280,800,1153,584,2416,1055,6008,3471,5.0,4.2,12.1,17.4,8.8,36.5,15.9,90.7,52.4,"Census Tract 330, San Francisco County, California",330.0,"POLYGON ((-122.494504 37.742222, -122.485335 37.742626, -122.475726 37.743049, -122.475621 37.741183, -122.475485 37.739321, -122.47539 37.73745, -122.475189 37.734762, -122.479547 37.734619, -122.480254 37.73459, -122.485518 37.734356, -122.485855 37.734182, -122.491294 37.734096, -122.493784 37.733989, -122.494126 37.736631, -122.494253 37.738493, -122.494404 37.740352, -122.494504 37.742222))"
157,102,16,389,326,349,973,866,2903,1839,3.4,0.5,12.9,10.8,11.6,32.2,28.7,96.1,60.9,"Census Tract 331, San Francisco County, California",331.0,"POLYGON ((-122.499059 37.731576, -122.496564 37.733856, -122.493784 37.733989, -122.491294 37.734096, -122.485855 37.734182, -122.485518 37.734356, -122.480254 37.73459, -122.479547 37.734619, -122.475189 37.734762, -122.475173 37.734562, -122.474972 37.731072, -122.480015 37.731148, -122.48193 37.731172, -122.485302 37.730946, -122.486179 37.730879, -122.486606 37.729555, -122.48889 37.730257, -122.492161 37.728836, -122.493529 37.729594, -122.497017 37.729303, -122.499059 37.731576))"
158,9,0,30,195,113,271,131,740,402,1.2,0.0,4.0,26.0,15.1,36.2,17.5,98.8,53.7,"Census Tract 332.01, San Francisco County, California",332.01,"POLYGON ((-122.486179 37.730879, -122.485302 37.730946, -122.48193 37.731172, -122.480015 37.731148, -122.474972 37.731072, -122.474634 37.728992, -122.474745 37.72693599999999, -122.475347 37.720914, -122.478988 37.720844, -122.479631 37.719663, -122.484909 37.724032, -122.483811 37.727029, -122.486606 37.729555, -122.486179 37.730879))"
159,33,56,188,767,136,916,526,2533,1442,1.3,2.1,7.2,29.3,5.2,34.9,20.1,96.6,55.0,"Census Tract 332.03, San Francisco County, California",332.03,"POLYGON ((-122.485124 37.718575, -122.484832 37.718571, -122.483143 37.718517, -122.483205 37.717585, -122.479981 37.716942, -122.478674 37.717903, -122.47724 37.717709, -122.475818 37.716891, -122.474383 37.717507, -122.474528 37.719065, -122.472672 37.717248, -122.471472 37.713427, -122.471355 37.712802, -122.476624 37.714567, -122.485043 37.714754, -122.485124 37.718575))"
160,132,168,322,524,218,997,423,2484,1420,4.7,6.0,11.6,18.8,7.8,35.8,15.2,89.2,51.0,"Census Tract 332.04, San Francisco County, California",332.04,"POLYGON ((-122.484909 37.724032, -122.479631 37.719663, -122.478988 37.720844, -122.475347 37.720914, -122.475368 37.72037, -122.474528 37.719065, -122.474383 37.717507, -122.475818 37.716891, -122.47724 37.717709, -122.478674 37.717903, -122.479981 37.716942, -122.483205 37.717585, -122.483143 37.718517, -122.484832 37.718571, -122.485124 37.718575, -122.484909 37.724032))"
161,490,176,1082,1170,260,2516,1294,6322,3810,7.0,2.5,15.5,16.7,3.7,36.0,18.5,90.5,54.5,"Census Tract 351, San Francisco County, California",351.0,"POLYGON ((-122.502979 37.764344, -122.496085 37.764675, -122.49595 37.762732, -122.495822 37.760871, -122.495692 37.759001, -122.495555 37.757137, -122.495433 37.755273, -122.495307 37.75341, -122.495165 37.751543, -122.499914 37.751334, -122.499784 37.749472, -122.50193 37.749377, -122.50206 37.75124, -122.502191 37.753106, -122.502318 37.754953, -122.50245 37.756835, -122.502582 37.7587, -122.502713 37.760567, -122.502844 37.762427, -122.502979 37.764344))"
162,390,267,665,988,323,1308,655,3939,1963,8.5,5.8,14.5,21.5,7.0,28.5,14.3,85.7,42.7,"Census Tract 352.01, San Francisco County, California",352.01,"POLYGON ((-122.512070759187 37.7636593024008, -122.50987 37.76409, -122.509622 37.762127, -122.509382 37.760272, -122.509111 37.75841399999999, -122.502582 37.7587, -122.50245 37.756835, -122.502318 37.754953, -122.502191 37.753106, -122.50206 37.75124, -122.50193 37.749377, -122.505148 37.749235, -122.507942 37.749111, -122.509993368973 37.74881495033259, -122.512070759187 37.7636593024008))"
163,285,210,767,453,268,1323,615,3426,1938,7.3,5.4,19.6,11.6,6.8,33.7,15.7,87.4,49.4,"Census Tract 352.02, San Francisco County, California",352.02,"POLYGON ((-122.50987 37.76409, -122.502979 37.764344, -122.502844 37.762427, -122.502713 37.760567, -122.502582 37.7587, -122.509111 37.75841399999999, -122.509382 37.760272, -122.509622 37.762127, -122.50987 37.76409))"
164,567,507,923,757,385,1844,648,4557,2492,10.1,9.0,16.4,13.4,6.8,32.7,11.5,80.9,44.3,"Census Tract 353, San Francisco County, California",353.0,"POLYGON ((-122.50193 37.749377, -122.499784 37.749472, -122.499914 37.751334, -122.495165 37.751543, -122.495046 37.749681, -122.494911 37.747814, -122.494774 37.745949, -122.494646 37.744089, -122.494504 37.742222, -122.494404 37.740352, -122.494253 37.738493, -122.494126 37.736631, -122.493784 37.733989, -122.496564 37.733856, -122.497487 37.733925, -122.499139 37.734404, -122.501041 37.7353, -122.501142 37.738192, -122.501404 37.74191, -122.501536 37.743785, -122.50193 37.749377))"
165,475,231,770,892,435,1959,1017,5073,2976,8.2,4.0,13.3,15.4,7.5,33.9,17.6,87.8,51.5,"Census Tract 354, San Francisco County, California",354.0,"POLYGON ((-122.509993368973 37.74881495033259, -122.507942 37.749111, -122.505148 37.749235, -122.50193 37.749377, -122.501536 37.743785, -122.501404 37.74191, -122.501142 37.738192, -122.501041 37.7353, -122.502031 37.735515, -122.505262 37.735565, -122.506796 37.73555899999999, -122.508121548602 37.7354395332202, -122.509993368973 37.74881495033259))"
166,174,103,238,442,292,1467,956,3395,2423,4.7,2.8,6.5,12.0,8.0,40.0,26.0,92.5,66.0,"Census Tract 401, San Francisco County, California",401.0,"POLYGON ((-122.464781 37.788564, -122.463581 37.788806, -122.459476 37.789711, -122.459388 37.788405, -122.459179 37.785682, -122.458998 37.783189, -122.458878 37.781326, -122.461068 37.781227, -122.464284 37.781089, -122.464551 37.784792, -122.464781 37.788564))"
167,310,283,285,313,200,1768,1114,3680,2882,7.3,6.6,6.7,7.3,4.7,41.4,26.1,86.1,67.4,"Census Tract 402, San Francisco County, California",402.0,"POLYGON ((-122.472583 37.786317, -122.472352 37.787234, -122.470912 37.787221, -122.466924 37.788132, -122.464781 37.788564, -122.464551 37.784792, -122.464284 37.781089, -122.466432 37.78099, -122.467492 37.780938, -122.472264 37.780747, -122.472379 37.782581, -122.472516 37.784453, -122.472583 37.786317))"
168,108,14,275,470,274,1132,752,2903,1884,3.6,0.5,9.1,15.5,9.1,37.4,24.9,96.0,62.3,"Census Tract 426.01, San Francisco County, California",426.01,"POLYGON ((-122.48408 37.785795, -122.478714 37.786031, -122.478579 37.784174, -122.478444 37.782308, -122.47831 37.780449, -122.479388 37.780403, -122.482598 37.780265, -122.483667 37.780207, -122.483804 37.782077, -122.483936 37.783931, -122.48408 37.785795))"
169,77,50,194,279,136,877,824,2310,1701,3.2,2.1,8.0,11.4,5.6,36.0,33.8,94.8,69.8,"Census Tract 426.02, San Francisco County, California",426.02,"POLYGON ((-122.478714 37.786031, -122.472583 37.786317, -122.472516 37.784453, -122.472379 37.782581, -122.472264 37.780747, -122.47831 37.780449, -122.478444 37.782308, -122.478579 37.784174, -122.478714 37.786031))"
170,349,265,419,761,238,1421,891,3730,2312,8.0,6.1,9.6,17.5,5.5,32.7,20.5,85.9,53.2,"Census Tract 427, San Francisco County, California",427.0,"POLYGON ((-122.493491 37.783498, -122.490364 37.78364, -122.487151 37.783785, -122.487286 37.785649, -122.48408 37.785795, -122.483936 37.783931, -122.483804 37.782077, -122.483667 37.780207, -122.489019 37.779977, -122.491172 37.779869, -122.493305 37.77975199999999, -122.493446 37.781627, -122.493491 37.783498))"
171,20,6,54,156,50,664,782,1706,1446,1.2,0.3,3.1,9.0,2.9,38.3,45.2,98.5,83.5,"Census Tract 428, San Francisco County, California",428.0,"POLYGON ((-122.493338 37.787403, -122.493048716406 37.7879341073778, -122.492883 37.787929, -122.485827333182 37.7906121409026, -122.483985 37.789769, -122.483799 37.78774, -122.479845 37.786796, -122.472352 37.787234, -122.472583 37.786317, -122.478714 37.786031, -122.48408 37.785795, -122.487286 37.785649, -122.487151 37.783785, -122.490364 37.78364, -122.493491 37.783498, -122.493338 37.787403))"
172,114,135,456,348,217,1807,1212,4040,3019,2.7,3.1,10.6,8.1,5.1,42.1,28.3,94.2,70.4,"Census Tract 451, San Francisco County, California",451.0,"POLYGON ((-122.464284 37.781089, -122.461068 37.781227, -122.458878 37.781326, -122.458505 37.77619, -122.458371 37.774309, -122.460553 37.774031, -122.463749 37.773624, -122.464011 37.777235, -122.464284 37.781089))"
173,467,146,248,749,272,2245,1355,4869,3600,8.5,2.7,4.5,13.7,5.0,41.0,24.7,88.8,65.7,"Census Tract 452, San Francisco County, California",452.0,"POLYGON ((-122.472264 37.780747, -122.467492 37.780938, -122.466432 37.78099, -122.464284 37.781089, -122.464011 37.777235, -122.463749 37.773624, -122.465332 37.773423, -122.466952 37.773351, -122.471706 37.773141, -122.471842 37.775006, -122.471967 37.776871, -122.472103 37.778731, -122.472264 37.780747))"
174,189,312,371,457,397,1409,1233,3867,2642,4.3,7.1,8.5,10.5,9.1,32.3,28.2,88.5,60.5,"Census Tract 476, San Francisco County, California",476.0,"POLYGON ((-122.479388 37.780403, -122.47831 37.780449, -122.472264 37.780747, -122.472103 37.778731, -122.471967 37.776871, -122.471842 37.775006, -122.471706 37.773141, -122.478837 37.772815, -122.478972 37.774681, -122.479106 37.776546, -122.479241 37.778408, -122.479388 37.780403))"
175,211,152,356,677,224,1514,602,3373,2116,5.6,4.1,9.5,18.1,6.0,40.5,16.1,90.3,56.6,"Census Tract 477.01, San Francisco County, California",477.01,"POLYGON ((-122.489019 37.779977, -122.483667 37.780207, -122.482598 37.780265, -122.479388 37.780403, -122.479241 37.778408, -122.479106 37.776546, -122.482318 37.7764, -122.488741 37.776107, -122.488876 37.777972, -122.489019 37.779977))"
176,229,145,378,469,164,1165,508,2684,1673,7.5,4.7,12.4,15.3,5.4,38.1,16.6,87.8,54.7,"Census Tract 477.02, San Francisco County, California",477.02,"POLYGON ((-122.488741 37.776107, -122.482318 37.7764, -122.479106 37.776546, -122.478972 37.774681, -122.478837 37.772815, -122.482049 37.772667, -122.488471 37.772374, -122.488606 37.774241, -122.488741 37.776107))"
177,290,126,467,401,272,1305,677,3122,1982,8.2,3.6,13.2,11.3,7.7,36.9,19.1,88.2,56.0,"Census Tract 478.01, San Francisco County, California",478.01,"POLYGON ((-122.497455 37.777579, -122.493168 37.777774, -122.493305 37.77975199999999, -122.491172 37.779869, -122.489019 37.779977, -122.488876 37.777972, -122.488741 37.776107, -122.488606 37.774241, -122.488471 37.772374, -122.494903 37.772081, -122.495039 37.773947, -122.495175 37.775813, -122.497319 37.775715, -122.497455 37.777579))"
178,150,116,240,387,211,1009,611,2458,1620,5.5,4.3,8.8,14.2,7.7,37.0,22.4,90.2,59.5,"Census Tract 478.02, San Francisco County, California",478.02,"POLYGON ((-122.498801 37.781377, -122.493446 37.781627, -122.493305 37.77975199999999, -122.493168 37.777774, -122.497455 37.777579, -122.497319 37.775715, -122.495175 37.775813, -122.495039 37.773947, -122.494903 37.772081, -122.498114 37.771934, -122.49825 37.7738, -122.498386 37.775667, -122.498521 37.777531, -122.498669 37.779507, -122.498801 37.781377))"
179,362,201,795,904,675,1957,926,5257,2883,6.2,3.5,13.7,15.5,11.6,33.6,15.9,90.3,49.5,"Census Tract 479.01, San Francisco County, California",479.01,"POLYGON ((-122.514483 37.780829, -122.509842514521 37.7846145393916, -122.507484 37.782185, -122.510781 37.782059, -122.509879 37.780627, -122.509593 37.780173, -122.509228 37.777044, -122.506022 37.77719, -122.501733 37.777385, -122.498521 37.777531, -122.498386 37.775667, -122.49825 37.7738, -122.498114 37.771934, -122.505611 37.771592, -122.511124 37.771323, -122.513067688424 37.7707830331714, -122.513128 37.771214, -122.514483 37.780829))"
180,114,138,285,411,349,945,871,2861,1816,3.7,4.4,9.2,13.2,11.2,30.4,28.0,91.9,58.3,"Census Tract 479.02, San Francisco County, California",479.02,"POLYGON ((-122.509879 37.780627, -122.506509 37.780857, -122.505226 37.781077, -122.502012 37.781227, -122.498801 37.781377, -122.498669 37.779507, -122.498521 37.777531, -122.501733 37.777385, -122.506022 37.77719, -122.509228 37.777044, -122.509593 37.780173, -122.509879 37.780627))"
181,44,26,122,149,100,1219,939,2529,2158,1.7,1.0,4.7,5.7,3.8,46.9,36.1,97.3,83.0,"Census Tract 601, San Francisco County, California",601.0,"POLYGON ((-122.485783 37.790629, -122.480296 37.801293, -122.478083 37.810828, -122.470336 37.808671, -122.463793 37.804653, -122.448241130218 37.8072521685356, -122.449179 37.802074, -122.44782 37.801633, -122.447466 37.79939, -122.447303 37.798459, -122.447015 37.796579, -122.446728 37.794706, -122.4463 37.791879, -122.45274 37.790974, -122.459476 37.789711, -122.463581 37.788806, -122.464781 37.788564, -122.466924 37.788132, -122.470912 37.787221, -122.472352 37.787234, -122.479845 37.786796, -122.483799 37.78774, -122.483985 37.789769, -122.485827333182 37.7906121409026, -122.485783 37.790629))"
182,0,10,128,332,90,389,320,1259,709,0.0,0.8,10.1,26.2,7.1,30.7,25.2,99.2,55.9,"Census Tract 604, San Francisco County, California",604.0,"POLYGON ((-122.506796 37.73555899999999, -122.505262 37.735565, -122.502031 37.735515, -122.501041 37.7353, -122.499139 37.734404, -122.497487 37.733925, -122.496564 37.733856, -122.499059 37.731576, -122.497017 37.729303, -122.493529 37.729594, -122.492161 37.728836, -122.48889 37.730257, -122.486606 37.729555, -122.483811 37.727029, -122.484909 37.724032, -122.485124 37.718575, -122.485043 37.714754, -122.476624 37.714567, -122.471355 37.712802, -122.471215 37.708939, -122.471319 37.708305, -122.486042 37.708233, -122.502426880724 37.7081329861058, -122.506483 37.723731, -122.508121548602 37.7354395332202, -122.506796 37.73555899999999))"
183,326,310,564,350,160,257,28,1359,285,16.3,15.5,28.3,17.5,8.0,12.9,1.4,68.1,14.3,"Census Tract 605.02, San Francisco County, California",605.02,"POLYGON ((-122.424478 37.71011, -122.423027 37.710377, -122.422241 37.711317, -122.421475 37.712201, -122.420908 37.713774, -122.415635 37.712733, -122.416 37.711915, -122.416648 37.710473, -122.419348 37.709947, -122.420083 37.70831099999999, -122.420082 37.708231, -122.42389 37.708236, -122.423377 37.709203, -122.424478 37.71011))"
184,162,270,1022,1100,327,3529,3365,9343,6894,1.7,2.8,10.5,11.3,3.3,36.1,34.4,95.6,70.5,"Census Tract 607, San Francisco County, California",607.0,"POLYGON ((-122.40499 37.769715, -122.404391 37.76974999999999, -122.401657 37.771817, -122.399433 37.773573, -122.400982 37.774809, -122.398755 37.776568, -122.397206 37.775332, -122.39275 37.778852, -122.390527 37.780607, -122.389168 37.781649, -122.388423 37.78179799999999, -122.387421 37.78279, -122.383505768697 37.7830792797042, -122.381232 37.773514, -122.380462169293 37.7675163525902, -122.385823 37.767255, -122.387917 37.764379, -122.388164 37.766958, -122.393968 37.766614, -122.393848 37.765307, -122.398703 37.765014, -122.404497 37.764664, -122.40499 37.769715))"
185,255,267,633,575,296,996,578,3078,1574,7.1,7.4,17.6,16.0,8.2,27.7,16.1,85.5,43.7,"Census Tract 610, San Francisco County, California",610.0,"POLYGON ((-122.405582 37.708231, -122.404821 37.709747, -122.404348 37.710443, -122.403109 37.711998, -122.402546 37.712266, -122.400626 37.712984, -122.398328 37.716259, -122.398515 37.717664, -122.397025 37.719515, -122.396682 37.720266, -122.393545 37.718487, -122.391141 37.71803999999999, -122.388131 37.71629799999999, -122.38685 37.717509, -122.386265 37.717179, -122.38282 37.721872, -122.383251 37.720151, -122.374980911262 37.71555763121989, -122.377251 37.714557, -122.379568 37.711491, -122.37529 37.708482, -122.390674 37.70864, -122.39137503156 37.708331, -122.393635 37.708244, -122.395107 37.708339, -122.404682 37.708331, -122.405292 37.708262, -122.405582 37.708231))"
186,1614,693,676,273,148,355,36,1488,391,42.5,18.3,17.8,7.2,3.9,9.4,0.9,39.2,10.3,"Census Tract 611, San Francisco County, California",611.0,"POLYGON ((-122.408431 37.796704, -122.405513 37.797065, -122.402041 37.797505, -122.400681 37.796777, -122.400149 37.794134, -122.404613 37.793565, -122.404796 37.794453, -122.407903 37.79406, -122.408253 37.795824, -122.408431 37.796704))"
187,663,289,588,778,178,514,173,2231,687,20.8,9.1,18.5,24.4,5.6,16.1,5.4,70.1,21.6,"Census Tract 612, San Francisco County, California",612.0,"POLYGON ((-122.395945 37.737784, -122.394093 37.736729, -122.391268 37.739853, -122.389425 37.738803, -122.387705 37.742697, -122.387143 37.741297, -122.385282 37.74024, -122.388529 37.736475, -122.38717 37.735698, -122.387399 37.734738, -122.389035 37.732919, -122.39106 37.734066, -122.391617 37.732487, -122.393904 37.733788, -122.392776 37.735038, -122.396515 37.737156, -122.395945 37.737784))"
188,258,310,387,347,311,1811,1028,3884,2839,5.8,7.0,8.7,7.8,7.0,40.7,23.1,87.2,63.8,"Census Tract 614, San Francisco County, California",614.0,"POLYGON ((-122.403784 37.749433, -122.403007 37.752446, -122.403127 37.754478, -122.403396 37.756471, -122.403689 37.757015, -122.39797 37.757359, -122.398216 37.759909, -122.392494 37.760245, -122.392447 37.756436, -122.391232 37.752657, -122.390683 37.752663, -122.394587 37.752427, -122.396408 37.751179, -122.402605 37.750558, -122.403569 37.749475, -122.403784 37.749433))"
189,106,198,749,1400,300,4791,5316,12556,10107,0.8,1.5,5.8,10.9,2.3,37.3,41.3,97.6,78.6,"Census Tract 615, San Francisco County, California",615.0,"POLYGON ((-122.406062 37.785757, -122.399195 37.791058, -122.396315 37.793337, -122.394748 37.79448, -122.393181 37.79323, -122.391487 37.793859, -122.389708268207 37.7958244063587, -122.388570312096 37.7945008753206, -122.385555859095 37.790994833152, -122.385323 37.790724, -122.383505768697 37.7830792797042, -122.387421 37.78279, -122.388423 37.78179799999999, -122.389168 37.781649, -122.390527 37.780607, -122.39275 37.778852, -122.397386 37.782554, -122.39893 37.783785, -122.400468 37.78503, -122.402708 37.783259, -122.406062 37.785757))"
190,10,21,45,43,5,65,105,263,170,3.4,7.1,15.3,14.6,1.7,22.1,35.7,89.5,57.8,"Census Tract 9802, San Francisco County, California",9802.0,"POLYGON ((-122.510781 37.782059, -122.507484 37.782185, -122.509842514521 37.7846145393916, -122.50531 37.788312, -122.493048716406 37.7879341073778, -122.493338 37.787403, -122.493491 37.783498, -122.493446 37.781627, -122.498801 37.781377, -122.502012 37.781227, -122.505226 37.781077, -122.506509 37.780857, -122.509879 37.780627, -122.510781 37.782059))"
191,0,0,0,5,0,47,14,66,61,0.0,0.0,0.0,7.6,0.0,71.2,21.2,100.0,92.4,"Census Tract 9803, San Francisco County, California",9803.0,"POLYGON ((-122.513067688424 37.7707830331714, -122.511124 37.771323, -122.505611 37.771592, -122.498114 37.771934, -122.494903 37.772081, -122.488471 37.772374, -122.482049 37.772667, -122.478837 37.772815, -122.471706 37.773141, -122.466952 37.773351, -122.465332 37.773423, -122.463749 37.773624, -122.460553 37.774031, -122.458371 37.774309, -122.454683 37.774755, -122.454083 37.77193, -122.450787 37.772368, -122.447497 37.77279, -122.444216 37.773212, -122.440922 37.773635, -122.440735 37.772713, -122.445717 37.77208, -122.4506 37.77146, -122.453902 37.771054, -122.453352 37.768246, -122.452947 37.766374, -122.456913 37.765874, -122.45779 37.766015, -122.458405 37.76616, -122.46109 37.766132, -122.464297 37.765963, -122.47073 37.76577899999999, -122.477261 37.765486, -122.484763 37.76516, -122.486906 37.765054, -122.493336 37.764774, -122.496085 37.764675, -122.502979 37.764344, -122.50987 37.76409, -122.512070759187 37.7636593024008, -122.513067688424 37.7707830331714))"
192,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,"Census Tract 9804.01, San Francisco County, California",9804.01,"POLYGON ((-123.013916 37.700355, -123.007786 37.698943, -123.007548 37.70214, -123.003507 37.704396, -123.000893 37.701011, -122.998754 37.697438, -123.002794 37.692736, -123.005884 37.693489, -123.007548 37.695934, -123.012777 37.696498, -123.013916 37.700355))"
193,147,50,104,94,28,33,22,281,55,30.8,10.5,21.8,19.7,5.9,6.9,4.6,58.8,11.5,"Census Tract 9805.01, San Francisco County, California",9805.01,"POLYGON ((-122.42639 37.718561, -122.42583 37.719302, -122.424771 37.722172, -122.423807 37.723691, -122.421847 37.724199, -122.419875 37.72471, -122.416632 37.722157, -122.412969 37.723858, -122.412468 37.722658, -122.41099 37.719074, -122.407036 37.720085, -122.406665 37.719215, -122.407272 37.71782, -122.408255 37.71809, -122.40895 37.716458, -122.410433 37.716414, -122.411316 37.714367, -122.415396 37.715474, -122.415291 37.713504, -122.415635 37.712733, -122.420908 37.713774, -122.421475 37.712201, -122.422241 37.711317, -122.423027 37.710377, -122.424478 37.71011, -122.426737 37.711225, -122.425548 37.714517, -122.427189 37.715748, -122.42639 37.718561))"
194,12,39,111,78,21,62,61,333,123,3.1,10.2,28.9,20.3,5.5,16.1,15.9,86.7,32.0,"Census Tract 9806, San Francisco County, California",9806.0,"POLYGON ((-122.385024 37.724098, -122.382176 37.722246, -122.377833 37.72656, -122.379697 37.727618, -122.378542 37.728942, -122.373766 37.728005, -122.369771405992 37.7326989677807, -122.367386 37.732004, -122.366161 37.732844, -122.364671 37.731859, -122.356784 37.729505, -122.360238 37.719421, -122.364084 37.715701, -122.370411 37.717572, -122.374980911262 37.71555763121989, -122.383251 37.720151, -122.38282 37.721872, -122.384517 37.722862, -122.386899 37.724289, -122.385024 37.724098))"
