name,12/31/10,12/31/11,12/31/12,12/31/13,12/31/14,12/31/15,12/31/16,12/31/17,12/31/18,percent change (2010-2018),geometry
228.03,723442,712524,828565,995806,1121395,1256502,1254558,1340337,1501810,107.592315624473,"POLYGON ((-122.41672 37.757167, -122.412348 37.75743, -122.407754 37.757705, -122.407602 37.756109, -122.407449 37.754506, -122.409253 37.75439799999999, -122.412047 37.75423, -122.416413 37.753968, -122.416567 37.755568, -122.41672 37.757167))"
229.03,723442,712524,828565,995806,1121395,1256502,1254558,1340337,1501810,107.592315624473,"POLYGON ((-122.409253 37.75439799999999, -122.407449 37.754506, -122.406453 37.75427699999999, -122.403127 37.754478, -122.403007 37.752446, -122.403784 37.749433, -122.405239 37.749125, -122.406788 37.748805, -122.40871 37.748397, -122.408978 37.751201, -122.409253 37.75439799999999))"
210,723442,712524,828565,995806,1121395,1256502,1254558,1340337,1501810,107.592315624473,"POLYGON ((-122.425384 37.755035, -122.420964 37.755295, -122.420812 37.753703, -122.420665 37.752104, -122.420507 37.750506, -122.420282 37.748161, -122.421393 37.748124, -122.42485 37.747825, -122.424777 37.748644, -122.424934 37.750237, -122.425097 37.751845, -122.42524 37.753436, -122.425384 37.755035))"
229.01,723442,712524,828565,995806,1121395,1256502,1254558,1340337,1501810,107.592315624473,"POLYGON ((-122.416413 37.753968, -122.412047 37.75423, -122.4119 37.752629, -122.411746 37.751034, -122.411488 37.748344, -122.413673 37.748297, -122.41587 37.748267, -122.416108 37.750771, -122.416413 37.753968))"
202,723442,712524,828565,995806,1121395,1256502,1254558,1340337,1501810,107.592315624473,"POLYGON ((-122.426948 37.769175, -122.426402 37.769596, -122.424929 37.770778, -122.423641 37.771828, -122.42262 37.772503, -122.422365 37.769868, -122.422308 37.769278, -122.422044 37.76654, -122.421732 37.7633, -122.426137 37.763036, -122.426293 37.764651, -122.426462 37.766272, -122.426713 37.768982, -122.426948 37.769175))"
228.02,723442,712524,828565,995806,1121395,1256502,1254558,1340337,1501810,107.592315624473,"POLYGON ((-122.408424 37.764427, -122.40509 37.76462799999999, -122.405105 37.763852, -122.40648 37.760731, -122.406389 37.759804, -122.403689 37.757015, -122.403396 37.756471, -122.403127 37.754478, -122.406453 37.75427699999999, -122.407449 37.754506, -122.407602 37.756109, -122.407754 37.757705, -122.408064 37.760601, -122.408424 37.764427))"
209,723442,712524,828565,995806,1121395,1256502,1254558,1340337,1501810,107.592315624473,"POLYGON ((-122.420964 37.755295, -122.418748 37.755437, -122.416567 37.755568, -122.416413 37.753968, -122.416108 37.750771, -122.41587 37.748267, -122.418206 37.748203, -122.420282 37.748161, -122.420507 37.750506, -122.420665 37.752104, -122.420812 37.753703, -122.420964 37.755295))"
229.02,723442,712524,828565,995806,1121395,1256502,1254558,1340337,1501810,107.592315624473,"POLYGON ((-122.412047 37.75423, -122.409253 37.75439799999999, -122.408978 37.751201, -122.40871 37.748397, -122.410551 37.748367, -122.411488 37.748344, -122.411746 37.751034, -122.4119 37.752629, -122.412047 37.75423))"
227.04,747009,741205,834335,987125,1068217,1229783,1241419,1322083,1513328,102.58497554915671,"POLYGON ((-122.40648 37.760731, -122.405105 37.763852, -122.40509 37.76462799999999, -122.404497 37.764664, -122.398703 37.765014, -122.398461 37.762463, -122.398338 37.761184, -122.398216 37.759909, -122.39797 37.757359, -122.403689 37.757015, -122.406389 37.759804, -122.40648 37.760731))"
227.02,747009,741205,834335,987125,1068217,1229783,1241419,1322083,1513328,102.58497554915671,"POLYGON ((-122.398703 37.765014, -122.393848 37.765307, -122.392714 37.764084, -122.39252 37.762819, -122.392319 37.76106, -122.392494 37.760245, -122.398216 37.759909, -122.398338 37.761184, -122.398461 37.762463, -122.398703 37.765014))"
