,Geographic Area Name,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  White,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  Black or African American,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  American Indian and Alaska Native,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  Asian,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  Native Hawaiian and Other Pacific Islander,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  Some other race,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  Two or more races,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  Hispanic or Latino origin (of any race),"Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  White alone, not Hispanic or Latino",Estimate  Median income (dollars)  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over
143,"Census Tract 110, San Francisco County, California",134948,170000,-,-,79932,-,-,-,95764,172841,-,178750,95817,55260
144,"Census Tract 154, San Francisco County, California",121116,114474,-,-,119605,-,-,"250,000+",-,119605,157832,151521,95633,-
145,"Census Tract 104, San Francisco County, California",106979,105250,-,-,113125,-,-,210786,103451,106083,-,155798,96887,75170
146,"Census Tract 255, San Francisco County, California",106000,103750,-,-,123008,-,63817,-,85024,103235,25508,123244,124922,61154
147,"Census Tract 256, San Francisco County, California",74688,80952,-,-,72708,-,-,97697,92823,80060,37188,89688,86705,55150
148,"Census Tract 258, San Francisco County, California",72411,96488,48162,-,70288,-,48125,-,-,97083,-,105385,79028,34688
149,"Census Tract 260.01, San Francisco County, California",62656,77011,113348,-,65560,-,47283,-,50521,-,-,91536,65434,31875
150,"Census Tract 451, San Francisco County, California",101480,139779,-,-,74468,-,-,-,85188,156167,-,138750,121000,43309
151,"Census Tract 452, San Francisco County, California",92193,110458,-,-,61875,-,-,-,94643,115938,-,109238,91250,36974
152,"Census Tract 261, San Francisco County, California",78640,93021,60978,-,95500,-,53553,119219,66029,76164,51484,115125,99792,53571
153,"Census Tract 233, San Francisco County, California",55600,-,-,-,59000,-,-,-,38750,-,-,65682,65568,28750
154,"Census Tract 253, San Francisco County, California",126563,166591,-,-,167596,-,41382,205217,42215,172868,-,192813,133409,49390
155,"Census Tract 254.01, San Francisco County, California",114211,114946,-,-,152500,-,65962,191875,66635,136528,-,150670,96154,86250
156,"Census Tract 263.01, San Francisco County, California",65893,56667,-,-,75179,-,-,42250,54750,61944,-,92708,68720,53893
157,"Census Tract 263.02, San Francisco County, California",79375,83682,64091,-,84714,-,67500,85179,67734,84850,-,91103,82763,58162
158,"Census Tract 263.03, San Francisco County, California",80690,84792,-,-,76944,-,90542,-,76250,92083,-,-,93611,55125
159,"Census Tract 305, San Francisco County, California",122813,146429,26393,-,123707,-,-,-,-,162604,-,162396,146607,28092
160,"Census Tract 311, San Francisco County, California",112750,111328,91292,-,118333,-,-,208125,68846,123145,"250,000+",148405,112298,81250
161,"Census Tract 164, San Francisco County, California",119321,132956,47188,-,122188,-,-,100739,89038,133611,-,153864,80167,50363
162,"Census Tract 166, San Francisco County, California",134395,132621,-,-,109118,-,-,139457,71719,139352,-,142575,84643,-
163,"Census Tract 179.02, San Francisco County, California",52143,71750,37063,-,-,-,-,-,-,75000,-,55227,49286,139500
164,"Census Tract 214, San Francisco County, California",148594,162917,-,-,109375,-,-,-,89050,178472,149375,206681,129276,59350
165,"Census Tract 428, San Francisco County, California",161523,174583,-,-,128750,-,-,-,-,185536,-,165625,"250,000+",128750
166,"Census Tract 234, San Francisco County, California",40648,89375,42768,-,-,12415,58542,23125,45750,-,-,24414,88971,21250
167,"Census Tract 165, San Francisco County, California",117156,138523,-,-,-,-,-,240694,105456,151667,-,150764,162083,32612
168,"Census Tract 307, San Francisco County, California",139531,145917,-,-,135085,-,-,133654,-,160917,-,223281,156161,66083
169,"Census Tract 351, San Francisco County, California",125408,126895,-,-,107969,-,-,138912,139578,126008,-,139188,122750,64327
170,"Census Tract 130, San Francisco County, California",156117,155795,-,-,195019,-,-,160590,-,156553,-,163556,122156,94141
171,"Census Tract 260.02, San Francisco County, California",94200,95833,64464,-,108359,-,82969,152321,83603,98333,-,87115,107500,67292
172,"Census Tract 264.02, San Francisco County, California",87404,101250,49844,-,85054,-,126649,145625,126622,99766,-,113182,87297,30000
173,"Census Tract 303.01, San Francisco County, California",140179,143462,-,-,104929,-,-,153000,-,143269,94118,155781,189423,48958
174,"Census Tract 308, San Francisco County, California",151250,149877,-,-,186033,-,-,246174,-,148275,-,157596,188100,108681
175,"Census Tract 254.02, San Francisco County, California",128750,144760,-,-,155341,-,-,-,-,148021,-,118611,144485,-
176,"Census Tract 262, San Francisco County, California",79861,83299,-,-,88042,-,76313,228792,75236,86250,-,94250,80744,75694
177,"Census Tract 216, San Francisco County, California",138117,121477,-,-,152188,-,124872,"250,000+",129167,124286,-,196488,146250,-
178,"Census Tract 309, San Francisco County, California",174946,205331,-,-,153250,-,-,"250,000+",74405,207390,-,230160,235026,128676
179,"Census Tract 479.01, San Francisco County, California",82241,79618,-,-,100625,-,-,70735,27560,80918,16635,107000,91250,54760
180,"Census Tract 124.02, San Francisco County, California",46422,43833,-,-,90703,-,-,-,-,65347,21758,108542,40233,18000
181,"Census Tract 124.01, San Francisco County, California",23467,30444,11240,-,33571,-,30750,-,30734,-,15938,38929,13429,16458
182,"Census Tract 122.02, San Francisco County, California",36719,51389,23563,-,28309,-,42585,-,44119,42500,-,71250,33125,14787
183,"Census Tract 122.01, San Francisco County, California",56298,60386,-,-,63423,-,85053,-,42823,65986,14106,86328,40143,35492
184,"Census Tract 119.02, San Francisco County, California",84735,78472,-,-,121875,-,56146,97321,56875,79375,61667,103431,75714,23269
185,"Census Tract 119.01, San Francisco County, California",72038,82672,-,-,79250,-,-,-,51728,81375,-,114141,56452,39732
186,"Census Tract 426.02, San Francisco County, California",113258,131637,-,-,110132,-,-,50625,98315,139063,-,145263,142500,69321
187,"Census Tract 426.01, San Francisco County, California",81815,92891,-,-,62782,-,-,-,80795,93255,106364,115987,81125,36700
188,"Census Tract 9901, San Francisco County, California",-,-,-,-,-,-,-,-,-,-,-,-,-,-
189,"Census Tract 9806, San Francisco County, California",68958,-,-,-,-,-,-,-,-,170313,-,14844,79044,108750
190,"Census Tract 9805.01, San Francisco County, California",16016,10592,-,-,14904,-,-,-,-,-,-,-,-,12193
191,"Census Tract 9802, San Francisco County, California",149250,160625,-,-,148500,-,-,-,-,160625,-,186000,162500,64750
192,"Census Tract 125.02, San Francisco County, California",12479,13479,16740,-,12236,-,-,-,-,12952,-,32966,13080,11691
193,"Census Tract 123.02, San Francisco County, California",40976,47702,54766,-,36675,-,70139,16713,55000,41750,41000,64871,29205,28086
194,"Census Tract 123.01, San Francisco County, California",17342,16026,28490,-,23094,-,8977,-,-,14196,-,28667,15722,12895
195,"Census Tract 9809, San Francisco County, California",103750,116750,-,-,125000,-,-,-,"2,500-",118125,-,118672,-,-
196,"Census Tract 9804.01, San Francisco County, California",-,-,-,-,-,-,-,-,-,-,-,-,-,-
197,United States,57652,61363,38183,40315,80398,57372,44168,52926,46627,63256,29319,62913,69909,41876
198,"San Francisco city, California",96265,116102,30235,52276,82445,67500,56949,100000,67282,121204,50275,131754,93774,44839
