,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over,Year
122,"Census Tract 262, San Francisco County, California",77928,80625,-,-,79583,-,67238,233854,66226,110076,-,91607,72051,72500,2018
123,"Census Tract 263.01, San Francisco County, California",70345,61250,-,-,74702,-,-,-,56979,62969,-,93125,71142,46806,2018
124,"Census Tract 263.02, San Francisco County, California",84457,87450,115682,-,86434,-,70625,78563,71417,105357,-,117045,82679,68929,2018
125,"Census Tract 263.03, San Francisco County, California",92992,92917,-,-,95956,-,91875,-,93036,86771,-,77750,102795,59571,2018
126,"Census Tract 264.01, San Francisco County, California",75156,62778,41250,-,80592,-,75594,-,75577,-,-,77094,81125,32188,2018
127,"Census Tract 264.02, San Francisco County, California",82010,106625,41283,-,79167,-,129083,147778,128333,102462,-,102235,82157,62578,2018
128,"Census Tract 264.03, San Francisco County, California",75455,66107,49313,-,91307,-,-,-,88684,48661,-,73558,92813,48938,2018
129,"Census Tract 264.04, San Francisco County, California",54805,65250,19881,-,72500,-,-,-,44038,81141,-,54219,58173,-,2018
130,"Census Tract 301.01, San Francisco County, California",122264,125712,-,-,101000,-,107400,-,107425,125208,-,136042,121203,58750,2018
131,"Census Tract 301.02, San Francisco County, California",147549,160429,-,-,139183,-,-,-,185179,160214,-,154531,188545,84808,2018
132,"Census Tract 302.01, San Francisco County, California",111000,113646,-,-,101360,-,-,71270,115769,113151,71391,128889,101518,64231,2018
133,"Census Tract 302.02, San Francisco County, California",123139,122750,-,-,140718,-,-,-,115893,123472,-,155938,97009,65139,2018
134,"Census Tract 303.01, San Francisco County, California",141125,151440,-,-,125795,-,-,157850,43684,152065,96944,182596,235230,44684,2018
135,"Census Tract 303.02, San Francisco County, California",138125,144722,-,-,138914,-,-,-,-,148250,-,150694,177619,97917,2018
136,"Census Tract 304, San Francisco County, California",160733,176500,-,-,134219,-,211172,221250,166932,180329,-,202292,191379,88684,2018
137,"Census Tract 305, San Francisco County, California",143558,166065,26678,-,143269,-,-,-,-,171071,-,191094,148098,33798,2018
138,"Census Tract 306, San Francisco County, California",172500,177708,229375,-,158750,-,-,-,-,178958,-,"250,000+",171667,113409,2018
139,"Census Tract 307, San Francisco County, California",146618,145662,-,-,161894,-,-,136453,36835,164199,-,247426,172167,66746,2018
140,"Census Tract 308, San Francisco County, California",152351,162411,-,-,117875,-,-,-,164797,151231,-,144762,185469,102727,2018
141,"Census Tract 309, San Francisco County, California",171595,172155,-,-,149704,-,-,-,-,185682,-,235143,229250,130792,2018
142,"Census Tract 310, San Francisco County, California",153456,157857,-,-,160563,-,-,-,-,168006,-,185644,194167,74261,2018
143,"Census Tract 311, San Francisco County, California",127011,125272,93661,-,121500,-,138125,213750,90486,136250,"250,000+",155069,121731,89375,2018
144,"Census Tract 312.01, San Francisco County, California",83381,101538,62955,-,85336,-,49922,-,66111,113419,49000,82219,101346,47188,2018
145,"Census Tract 312.02, San Francisco County, California",79712,134435,106012,-,77083,-,41205,-,-,133226,-,74500,84830,71023,2018
146,"Census Tract 313.01, San Francisco County, California",101116,141912,-,-,90474,-,-,170294,153333,140368,-,116974,92250,84712,2018
147,"Census Tract 313.02, San Francisco County, California",77260,95385,56176,-,81250,-,67611,-,69712,110139,83000,90045,86806,55642,2018
148,"Census Tract 314, San Francisco County, California",73750,82083,29444,-,77054,-,84890,115556,81771,103646,66310,83226,82228,51838,2018
149,"Census Tract 326.01, San Francisco County, California",116128,115524,-,-,125179,-,-,-,-,116573,-,148080,109375,68462,2018
150,"Census Tract 326.02, San Francisco County, California",96932,101528,-,-,94853,-,-,164167,-,100556,-,105725,121563,56693,2018
151,"Census Tract 327, San Francisco County, California",115457,121250,-,-,116304,-,-,-,135833,116767,-,152650,115915,78534,2018
152,"Census Tract 328.01, San Francisco County, California",114290,114261,-,-,129042,-,-,-,82417,116250,-,122434,116667,68625,2018
153,"Census Tract 328.02, San Francisco County, California",103861,92212,-,-,134091,-,-,-,-,93750,-,151750,120104,54423,2018
154,"Census Tract 329.01, San Francisco County, California",112500,123438,-,-,121806,-,74301,-,73272,133750,-,191094,143015,63864,2018
155,"Census Tract 329.02, San Francisco County, California",94545,98594,-,-,89432,-,-,-,-,98516,-,122054,111705,56667,2018
156,"Census Tract 330, San Francisco County, California",100907,100221,-,-,127895,-,-,-,66010,101309,68477,152647,144096,80590,2018
157,"Census Tract 331, San Francisco County, California",114783,101250,-,-,133500,-,-,-,153529,85278,-,156000,155139,85069,2018
158,"Census Tract 332.01, San Francisco County, California",34706,34706,38438,-,36184,-,-,-,30333,34926,25521,57292,45000,21938,2018
159,"Census Tract 332.03, San Francisco County, California",47188,57939,77955,-,41136,-,45625,68125,52375,58345,42683,50125,59957,42656,2018
160,"Census Tract 332.04, San Francisco County, California",62701,63953,-,-,44028,-,37043,-,36768,64764,-,79444,74583,26711,2018
161,"Census Tract 351, San Francisco County, California",121156,131473,-,-,105424,-,-,140017,141764,130580,-,141558,116150,73986,2018
162,"Census Tract 352.01, San Francisco County, California",102652,112135,-,-,88750,-,-,-,126023,111719,-,121250,114000,70375,2018
163,"Census Tract 352.02, San Francisco County, California",82593,77837,45833,-,89345,-,86875,63182,85559,79554,-,101806,70799,55278,2018
164,"Census Tract 353, San Francisco County, California",93375,86267,-,-,94355,-,-,-,-,86615,-,117917,113813,46117,2018
165,"Census Tract 354, San Francisco County, California",102500,105313,115083,-,77813,-,-,211895,-,104375,-,105625,116726,66347,2018
166,"Census Tract 401, San Francisco County, California",94589,104028,-,-,75096,-,-,116993,136354,97833,-,116453,78125,54861,2018
